Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita ($), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"30253, Mcdonough, GA",30253,51740,2171,2145,24478,23974,22217,20455,3678,48062,501,16,26,1765,286,20455,83811.03663,69747,29896,479,474,8618,901,291,124,5,6,405,70
"30256, Meansville, GA",30256,3053,8,8,223,213,2775,2771,25,3028,2,0,0,13,4,2771,65536.71273,57845,23697,1,1,1016,9,2,0,0,0,5,2
"30257, Milner, GA",30257,4164,20,20,504,495,3539,3492,89,4075,3,1,0,54,4,3492,70692.61761,62874,27038,7,7,1421,14,5,1,0,0,7,1
"30258, Molena, GA",30258,2455,8,8,235,231,2167,2151,28,2427,2,0,0,18,0,2151,68947.04439,59809,24644,1,1,751,9,3,0,0,0,6,0
"30259, Moreland, GA",30259,3784,22,23,349,371,3297,3198,117,3667,1,1,0,71,10,3198,66264.6418,54709,23711,3,3,1197,28,8,0,0,0,18,2
"30260, Morrow, GA",30260,25633,3719,3746,13969,13976,5605,3906,3345,22288,230,45,37,1387,298,3906,58615.92519,48408,21520,964,955,2487,819,305,102,9,8,328,67
"30263, Newnan, GA",30263,53594,509,473,14540,14339,35284,33275,4473,49121,195,58,36,2015,243,33275,71478.6625,56722,26208,103,94,13596,1021,415,33,9,11,510,43
"30265, Newnan, GA",30265,34815,1278,1283,5407,5343,26444,24846,2535,32280,136,20,12,1499,196,24846,93887.07565,81361,34193,259,257,10051,678,167,26,2,7,442,34
"30268, Palmetto, GA",30268,10359,117,111,4283,4201,5228,4666,1151,9208,53,3,5,593,68,4666,85847.91097,64209,31628,28,27,2149,244,98,6,1,1,122,16
"30269, Peachtree City, GA",30269,35763,2063,2095,3052,3081,28868,26827,2751,33012,58,26,27,1866,155,26827,118966.4277,99563,44436,695,688,11234,740,132,18,7,4,537,42
"30273, Rex, GA",30273,15647,520,511,11152,11125,2835,2015,1713,13934,122,33,13,719,147,2015,75111.21648,62396,26266,152,148,1169,407,148,36,4,9,181,29
"30274, Riverdale, GA",30274,32410,1745,1704,24657,24408,3802,2441,3257,29153,320,63,46,1283,298,2441,56764.55322,46883,20225,503,490,1574,878,304,151,13,12,331,67
"30275, Sargent, GA",30275,295,2,2,40,40,242,230,17,278,2,0,0,10,1,230,78064.71154,71250,27521,0,0,88,4,1,0,0,0,3,0
"30276, Senoia, GA",30276,15273,144,148,1907,1976,12739,12234,603,14670,4,11,2,414,49,12234,80867.51282,69301,28308,32,32,4579,139,23,1,0,3,103,9
"30277, Sharpsburg, GA",30277,20176,367,379,1581,1647,17611,16806,989,19187,17,3,7,685,62,16806,99590.76987,85029,34276,59,58,6206,234,43,7,1,0,169,14
"30281, Stockbridge, GA",30281,68390,3106,3043,31467,30924,29473,26794,5694,62696,563,47,65,2656,513,26794,78680.42135,66266,28844,698,683,11669,1402,464,164,15,16,625,118
