Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita (), 2014","# Asian Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014","# Asian Non-Hispanic Head of Households, 2014"
"75089, Rowlett, TX",75089,"30,651","2,710","2,961","4,983","5,426","20,476","15,788","5,546","25,105",85,40,37,"3,781",368,"112,627.63 ","97,385.00 ","35,673.00 ",719,"6,866","1,311",320,12,6,11,914,48,713
"75093, Plano, TX",75093,"50,899","9,010","9,147","3,324","3,312","36,000","33,093","3,852","47,047",72,34,29,"2,654",321,"149,219.00 ","108,349.00 ","60,369.00 ","3,080","15,170","1,252",300,28,13,8,836,67,"3,067"
"75094, Plano, TX",75094,"23,178","6,703","6,755","2,750","2,735","12,502","11,110","1,757","21,421",39,9,8,"1,301",141,"142,167.20 ","125,452.00 ","40,446.00 ","1,671","3,918",403,81,6,2,2,295,17,"1,669"
"75098, Wylie, TX",75098,"55,332","3,404","3,419","6,551","6,480","40,139","34,292","9,459","45,873",158,116,30,"5,693",662,"103,293.70 ","90,769.00 ","33,344.00 ",934,"13,577","2,314",791,43,19,37,"1,307",117,915
"75101, Bardwell, TX",75101,712,1,0,76,61,503,347,297,415,2,2,1,171,13,"58,260.00 ","44,706.00 ","18,574.00 ",1,175,72,23,1,0,0,47,1,1
"75104, Cedar Hill, TX",75104,"46,514","1,045","1,027","24,893","24,672","15,786","10,426","9,371","37,143",282,74,21,"5,294",565,"93,582.54 ","78,573.00 ","32,177.00 ",310,"5,979","2,332",775,52,4,15,"1,391",95,306
"75114, Crandall, TX",75114,"5,020",37,42,332,374,"4,334","3,909",572,"4,448",7,5,1,353,25,"89,347.86 ","79,451.00 ","29,261.00 ",7,"1,436",114,39,1,0,2,68,4,7
"75115, Desoto, TX",75115,"55,805",564,543,"38,199","37,811","12,700","8,236","8,313","47,492",405,107,21,"4,447",470,"88,357.78 ","69,674.00 ","31,996.00 ",174,"5,053","2,028",680,69,2,24,"1,165",88,172
"75116, Duncanville, TX",75116,"19,997",396,372,"5,361","5,152","10,276","5,704","8,420","11,577",71,97,14,"4,729",299,"70,749.06 ","58,264.00 ","24,212.00 ",113,"3,722","1,968",744,12,2,21,"1,126",63,111
"75125, Ferris, TX",75125,"6,196",11,5,744,608,"4,411","2,749","2,732","3,464",43,24,5,"1,771",72,"66,480.11 ","52,688.00 ","20,841.00 ",5,"1,442",622,178,3,0,6,419,16,5
"75126, Forney, TX",75126,"35,717",525,532,"3,556","3,716","28,988","24,778","5,782","29,935",79,58,27,"3,878",282,"106,043.50 ","94,613.00 ","33,480.00 ",100,"9,334","1,206",335,11,7,11,807,35,93
"75132, Fate, TX",75132,544,4,5,41,51,451,366,105,439,2,1,0,68,3,"75,104.29 ","68,421.00 ","26,784.00 ",2,163,28,9,1,0,1,16,1,2
"75134, Lancaster, TX",75134,"21,716",96,83,"15,791","15,453","3,614","1,747","4,124","17,592",141,48,12,"2,068",230,"66,908.90 ","59,382.00 ","22,815.00 ",29,"1,201",968,388,22,3,11,505,39,26
"75135, Caddo Mills, TX",75135,"5,959",28,21,181,139,"5,280","4,906",826,"5,133",6,13,2,432,47,"74,659.02 ","65,275.00 ","25,702.00 ",4,"1,874",197,72,1,0,3,115,6,4
"75137, Duncanville, TX",75137,"18,501",342,327,"7,258","7,172","8,494","5,433","5,253","13,248",101,60,16,"3,044",299,"90,894.03 ","71,212.00 ","33,029.00 ",106,"3,231","1,238",392,17,2,14,743,70,104
"75141, Hutchins, TX",75141,"5,481",18,15,"2,231","2,112","2,400","1,233","2,060","3,421",48,33,3,"1,240",101,"53,776.84 ","41,639.00 ","14,729.00 ",2,470,354,122,4,1,4,204,19,1
"75142, Kaufman, TX",75142,"20,407",137,143,"1,130","1,143","16,540","13,798","4,820","15,587",47,48,2,"2,647",239,"73,677.58 ","60,485.00 ","25,278.00 ",25,"5,810",982,392,10,1,10,533,36,24
"75146, Lancaster, TX",75146,"18,654",73,57,"11,933","11,828","4,841","3,168","3,256","15,398",104,38,16,"1,674",139,"75,164.51 ","65,326.00 ","26,805.00 ",21,"1,924",770,306,17,4,7,414,22,17
"75149, Mesquite, TX",75149,"61,712","1,876","1,873","14,137","14,256","36,049","22,902","21,089","40,623",259,225,53,"12,676","1,066","65,646.03 ","53,025.00 ","22,132.00 ",529,"12,913","5,244","1,738",47,9,46,"3,170",234,520
"75150, Mesquite, TX",75150,"62,074","2,459","2,434","11,739","11,723","37,140","23,832","22,562","39,512",261,355,76,"12,980","1,155","66,903.98 ","53,443.00 ","24,878.00 ",788,"14,532","5,951","2,100",55,15,79,"3,438",264,773
"75152, Palmer, TX",75152,"5,026",14,13,182,183,"4,209","3,178","1,560","3,466",7,15,2,"1,018",66,"91,487.74 ","68,592.00 ","29,486.00 ",2,"1,424",353,103,1,0,4,233,12,2
"75154, Red Oak, TX",75154,"38,232",216,186,"8,885","8,888","25,129","19,746","8,629","29,603",126,87,33,"5,240",381,"90,008.80 ","75,048.00 ","29,964.00 ",56,"8,698","2,096",662,19,6,17,"1,326",66,50
"75157, Rosser, TX",75157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0,0,0,0
"75158, Scurry, TX",75158,"5,212",40,51,143,185,"4,792","4,425",409,"4,803",2,4,1,278,12,"81,598.15 ","63,366.00 ","28,463.00 ",7,"1,684",90,28,0,0,1,57,4,7
"75159, Seagoville, TX",75159,"18,454",95,99,"2,535","2,627","13,148","9,252","6,013","12,441",73,58,2,"3,696",276,"61,058.98 ","49,290.00 ","19,807.00 ",23,"4,176","1,274",423,11,1,12,768,59,22
"75160, Terrell, TX",75160,"24,780",269,264,"4,877","4,818","16,332","13,385","5,755","19,025",53,75,5,"2,954",259,"67,712.30 ","53,707.00 ","24,163.00 ",59,"6,018","1,250",520,14,1,11,657,47,58
