Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita (), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"02324, Bridgewater, MA",02324,"26,482",369,359,"1,460","1,365","23,755","23,201",882,"25,600",68,7,3,602,58,"23,201","111,104.40 ","98,543.00 ","34,646.00 ",88,88,"7,542",113,27,6,0,2,73,5
"02330, Carver, MA",02330,"12,086",60,60,173,168,"11,466","11,366",150,"11,936",5,1,0,101,19,"11,366","88,072.92 ","78,547.00 ","33,062.00 ",15,15,"4,332",33,6,1,0,0,24,2
"02332, Duxbury, MA",02332,"14,496",172,165,138,127,"13,949","13,789",219,"14,277",6,0,1,179,10,"13,789","165,208.58 ","127,976.00 ","58,592.00 ",44,44,"4,995",44,7,1,0,0,35,1
"02333, East Bridgewater, MA",02333,"14,391",140,139,321,310,"13,513","13,351",242,"14,149",10,3,0,165,32,"13,351","105,515.00 ","90,086.00 ","36,890.00 ",36,36,"4,762",51,15,2,0,0,29,4
"02338, Halifax, MA",02338,"8,040",52,52,73,72,"7,730","7,664",92,"7,948",1,2,0,65,17,"7,664","101,166.57 ","85,258.00 ","38,336.00 ",16,16,"2,960",18,1,0,0,0,14,3
"02339, Hanover, MA",02339,"13,704",189,183,173,163,"13,060","12,963",154,"13,550",6,2,2,111,12,"12,963","127,506.13 ","111,241.00 ","43,676.00 ",47,47,"4,524",36,9,3,0,0,23,1
"02341, Hanson, MA",02341,"9,659",56,56,131,124,"9,255","9,176",107,"9,552",8,1,0,77,8,"9,176","109,918.50 ","101,692.00 ","37,452.00 ",12,12,"3,173",21,3,0,0,0,17,1
"02343, Holbrook, MA",02343,"11,300",398,390,"1,169","1,103","9,087","8,865",518,"10,782",56,7,5,238,45,"8,865","93,850.60 ","73,583.00 ","35,756.00 ",117,115,"3,631",145,44,7,2,1,79,12
"02346, Middleboro, MA",02346,"23,465",199,192,451,421,"22,123","21,836",405,"23,060",22,9,4,309,32,"21,836","93,822.11 ","83,189.00 ","34,865.00 ",52,51,"8,210",98,11,3,1,2,78,3
"02347, Lakeville, MA",02347,"10,846",102,100,100,96,"10,436","10,362",101,"10,745",2,0,0,83,10,"10,362","111,393.89 ","97,510.00 ","39,723.00 ",26,26,"3,742",25,0,1,0,0,23,1
