Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita (), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"63118, Saint Louis, MO",63118,"26,476",823,817,"14,357","14,200","9,202","8,457","2,014","24,462",93,17,2,817,208,"8,457","49,517.12 ","33,822.00 ","20,574.00 ",269,267,"4,750",592,230,37,2,10,267,45
"63119, Saint Louis, MO",63119,"35,438",896,867,"2,876","2,778","30,693","30,253",757,"34,681",14,5,3,574,49,"30,253","101,055.34 ","76,641.00 ","44,126.00 ",325,324,"13,552",205,33,3,1,1,158,9
"63120, Saint Louis, MO",63120,"9,507",7,7,"9,191","9,150",115,106,94,"9,413",39,0,0,11,19,106,"43,192.03 ","29,734.00 ","15,484.00 ",2,2,39,21,2,13,0,0,2,4
"63121, Saint Louis, MO",63121,"26,769",352,351,"22,231","22,094","3,449","3,370",379,"26,390",116,5,1,100,44,"3,370","53,969.95 ","40,910.00 ","22,772.00 ",144,143,"1,597",119,35,36,1,2,32,12
"63122, Saint Louis, MO",63122,"39,304",698,673,"2,204","2,122","35,404","34,958",819,"38,485",19,16,5,551,71,"34,958","124,816.88 ","90,391.00 ","51,874.00 ",212,212,"15,051",208,37,5,0,2,151,13
"63123, Saint Louis, MO",63123,"48,337","1,681","1,579","1,013",944,"44,394","43,793","1,112","47,225",18,35,17,786,82,"43,793","73,209.13 ","62,063.00 ","32,927.00 ",503,498,"20,316",340,49,3,5,7,259,17
"63124, Saint Louis, MO",63124,"9,700",408,391,403,382,"8,676","8,562",186,"9,514",6,1,2,151,12,"8,562","181,804.86 ","142,544.00 ","76,955.00 ",176,175,"3,650",46,2,3,1,1,38,1
"63125, Saint Louis, MO",63125,"32,349",598,562,992,929,"29,694","29,118","1,041","31,308",12,13,5,696,67,"29,118","61,056.18 ","49,230.00 ","26,823.00 ",178,177,"13,169",293,63,3,1,2,213,11
"63126, Saint Louis, MO",63126,"15,295",507,478,297,282,"14,069","13,884",344,"14,951",0,4,3,242,46,"13,884","86,093.25 ","72,287.00 ","37,380.00 ",127,127,"6,256",89,14,0,0,2,61,12
"63127, Saint Louis, MO",63127,"5,287",161,155,94,91,"4,889","4,842",92,"5,195",0,4,1,58,8,"4,842","139,221.54 ","97,246.00 ","59,295.00 ",49,48,"2,109",33,3,0,1,2,24,3
