Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita (), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"19426, Collegeville, PA",19426,"36,596","3,003","3,051","1,478","1,476","31,124","30,309","1,004","35,592",32,8,14,708,108,"30,309","136,415.64 ","118,242.00 ","46,473.00 ",830,828,"10,869",257,42,4,2,0,196,13
"19428, Conshohocken, PA",19428,"18,081",842,853,"1,220","1,210","15,403","14,958",673,"17,408",30,8,4,403,61,"14,958","103,077.22 ","83,291.00 ","46,217.00 ",308,307,"7,120",216,48,12,1,2,142,11
"19435, Frederick, PA",19435,321,2,2,4,3,306,302,6,315,1,0,0,4,0,302,"93,912.27 ","82,813.00 ","36,326.00 ",0,0,122,0,0,0,0,0,0,0
"19436, Gwynedd, PA",19436,911,130,131,46,44,719,703,19,892,2,0,1,14,1,703,"122,365.51 ","95,455.00 ","55,148.00 ",45,45,330,5,1,0,0,0,4,0
"19437, Gwynedd Valley, PA",19437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0,0,0,0
"19438, Harleysville, PA",19438,"24,379","1,337","1,374",792,797,"21,717","21,225",586,"23,793",19,8,4,416,47,"21,225","118,201.60 ","98,768.00 ","44,066.00 ",381,381,"8,277",149,21,5,0,2,114,7
"19440, Hatfield, PA",19440,"18,106","3,233","3,231",861,811,"13,282","12,812",836,"17,270",51,7,8,462,92,"12,812","97,207.04 ","81,658.00 ","36,711.00 ",879,877,"5,443",243,54,16,2,3,144,24
"19442, Kimberton, PA",19442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0,0,0,0
"19444, Lafayette Hill, PA",19444,"11,143",457,461,378,374,"10,121","9,978",167,"10,976",7,1,0,135,12,"9,978","141,825.39 ","119,990.00 ","56,015.00 ",151,151,"4,010",49,5,1,0,0,40,3
"19446, Lansdale, PA",19446,"56,415","7,170","7,184","3,046","2,998","44,329","43,040","1,947","54,468",67,20,33,"1,215",196,"43,040","107,363.65 ","84,900.00 ","42,536.00 ","2,099","2,092","18,358",557,110,17,7,4,387,32
