Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita (), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"80249, Denver, CO",80249,"25,520","1,768","1,705","8,438","8,018","10,019","6,259","8,117","17,403",330,141,44,"3,885",652,"6,259","87,585.89 ","75,533.00 ","27,652.00 ",412,405,"3,685","1,934",764,81,39,923,120
"80260, Denver, CO",80260,"34,126","1,328","1,423",638,581,"24,668","14,564","16,720","17,406",120,362,58,"9,797",994,"14,564","57,073.52 ","48,432.00 ","20,953.00 ",369,358,"9,773","4,285","1,414",19,92,"2,488",261
"80264, Denver, CO",80264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0,0,0
"80290, Denver, CO",80290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0,0,0
"80293, Denver, CO",80293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0,0,0
"80294, Denver, CO",80294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0,0,0
"80401, Golden, CO",80401,"40,300","1,269","1,488",451,490,"36,654","33,660","3,346","36,954",38,91,15,"2,476",246,"33,660","108,415.00 ","77,920.00 ","45,337.00 ",489,484,"15,343",884,130,7,29,655,58
"80419, Golden, CO",80419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0,0,0
"80420, Alma, CO",80420,"1,988",9,7,12,10,"1,876","1,826",104,"1,884",0,6,0,65,16,"1,826","64,689.35 ","62,277.00 ","30,537.00 ",3,3,883,24,2,0,1,17,4
"80421, Bailey, CO",80421,"8,277",75,61,46,39,"7,767","7,515",420,"7,857",0,17,4,309,44,"7,515","91,197.39 ","78,288.00 ","38,530.00 ",18,16,"3,351",136,12,0,6,109,7
