Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita (), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"97023, Estacada, OR",97023,"10,795",158,163,65,54,"9,709","9,411",761,"10,034",13,35,1,274,71,"9,411","76,531.08 ","66,010.00 ","28,448.00 ",38,37,"3,733",145,65,3,1,8,57,11
"97024, Fairview, OR",97024,"10,281",734,728,458,437,"7,296","6,689","1,994","8,287",29,41,21,576,149,"6,689","70,974.95 ","58,753.00 ","27,591.00 ",203,202,"3,139",463,261,3,1,8,150,40
"97027, Gladstone, OR",97027,"13,117",330,316,117,107,"11,559","10,991","1,135","11,982",12,37,18,554,77,"10,991","81,844.46 ","66,123.00 ","32,951.00 ",106,102,"4,785",271,90,3,4,7,155,12
"97028, Government Camp, OR",97028,11,0,0,0,0,11,10,1,10,0,0,0,1,0,10,"59,273.17 ","21,667.00 ","32,941.00 ",0,0,6,0,0,0,0,0,0,0
"97030, Gresham, OR",97030,"39,619","1,760","1,732","1,277","1,169","30,660","27,270","7,708","31,911",114,222,37,"3,367",596,"27,270","61,095.78 ","49,332.00 ","24,694.00 ",515,509,"13,038","1,819",774,17,6,50,863,109
"97034, Lake Oswego, OR",97034,"19,690",805,799,76,74,"18,030","17,560",703,"18,987",2,9,11,463,99,"17,560","150,813.13 ","110,748.00 ","62,583.00 ",259,258,"7,681",203,28,0,1,6,151,17
"97035, Lake Oswego, OR",97035,"25,981","2,073","2,096",236,224,"22,313","21,392","1,251","24,730",16,17,14,862,111,"21,392","110,756.71 ","84,395.00 ","49,234.00 ",699,696,"10,296",388,64,4,3,5,299,13
"97042, Mulino, OR",97042,"2,821",29,28,6,6,"2,666","2,608",85,"2,736",0,2,1,56,8,"2,608","88,287.05 ","78,000.00 ","32,447.00 ",6,6,"1,004",18,5,0,0,0,12,1
"97045, Oregon City, OR",97045,"53,826","1,151","1,166",260,231,"49,123","47,128","3,352","50,474",34,86,10,"1,923",274,"47,128","82,726.56 ","70,491.00 ","31,457.00 ",295,291,"19,051",796,192,6,4,24,522,48
"97048, Rainier, OR",97048,"7,310",51,46,19,17,"6,771","6,725",210,"7,100",0,4,1,80,42,"6,725","70,667.06 ","56,352.00 ","28,076.00 ",7,7,"2,761",64,17,0,0,2,37,8
