Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita (), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"55429, Minneapolis, MN",55429,"25,990","3,658","3,622","7,201","7,084","12,140","11,267","2,673","23,317",75,36,15,944,159,"11,267","64,300.50 ","52,644.00 ","24,212.00 ",786,783,"5,728",563,267,23,3,6,237,27
"55430, Minneapolis, MN",55430,"22,016","2,938","2,905","6,314","6,236","9,905","9,208","2,321","19,695",47,38,19,748,165,"9,208","67,355.39 ","54,778.00 ","24,587.00 ",616,613,"4,788",482,247,9,3,12,192,19
"55431, Minneapolis, MN",55431,"18,779","1,072","1,075",996,971,"15,626","15,164",925,"17,854",32,15,5,443,70,"15,164","85,660.76 ","72,839.00 ","36,981.00 ",363,362,"7,096",200,59,9,1,2,112,17
"55432, Minneapolis, MN",55432,"30,954","1,767","1,721","3,203","3,120","23,059","22,198","2,232","28,722",45,47,26,938,186,"22,198","73,702.44 ","61,310.00 ","30,546.00 ",502,494,"10,579",501,187,14,8,13,246,33
"55433, Minneapolis, MN",55433,"34,089","1,327","1,315","2,282","2,239","28,318","27,671","1,308","32,781",31,22,5,673,134,"27,671","77,011.33 ","63,683.00 ","30,762.00 ",311,310,"12,112",321,103,6,1,7,188,16
"55434, Minneapolis, MN",55434,"29,938","2,095","2,085","1,409","1,399","24,823","24,238","1,140","28,798",5,14,2,602,92,"24,238","77,515.93 ","69,744.00 ","29,784.00 ",514,514,"10,232",268,89,1,0,4,159,15
"55435, Minneapolis, MN",55435,"13,021","1,937","1,938",837,827,"9,692","9,443",424,"12,597",13,9,7,237,27,"9,443","93,948.00 ","63,354.00 ","50,752.00 ",776,773,"5,728",135,27,6,3,3,88,8
"55436, Minneapolis, MN",55436,"13,703",539,541,225,226,"12,595","12,417",241,"13,462",0,2,1,173,21,"12,417","137,230.28 ","104,056.00 ","58,388.00 ",161,161,"5,514",58,10,0,0,1,44,3
"55437, Minneapolis, MN",55437,"17,789",984,986,"1,069","1,059","14,889","14,507",663,"17,126",18,4,5,364,46,"14,507","95,176.55 ","77,390.00 ","42,652.00 ",334,334,"7,011",170,44,6,0,2,109,9
"55438, Minneapolis, MN",55438,"16,807",971,978,596,587,"14,579","14,319",411,"16,396",13,10,0,246,36,"14,319","128,261.13 ","90,341.00 ","58,010.00 ",324,324,"6,882",106,21,3,0,2,75,5
"55439, Minneapolis, MN",55439,"9,123",498,495,272,272,"8,072","7,910",233,"8,890",2,3,7,155,16,"7,910","155,362.37 ","117,765.00 ","61,429.00 ",147,147,"3,334",57,9,0,0,1,43,4
"55441, Minneapolis, MN",55441,"18,917","1,044","1,040","1,539","1,533","15,319","14,870",855,"18,062",11,11,7,440,68,"14,870","110,299.13 ","82,970.00 ","47,184.00 ",393,391,"6,862",225,74,5,2,1,130,13
"55442, Minneapolis, MN",55442,"14,359",807,818,587,591,"12,474","12,248",339,"14,020",4,2,1,202,27,"12,248","126,986.97 ","101,118.00 ","52,466.00 ",265,265,"5,350",83,23,1,0,0,55,4
"55443, Minneapolis, MN",55443,"35,380","6,201","6,186","8,694","8,641","18,038","17,420","1,594","33,786",51,28,14,621,126,"17,420","96,362.20 ","78,857.00 ","32,623.00 ","1,429","1,426","7,337",346,147,8,3,6,158,24
"55444, Minneapolis, MN",55444,"16,543","3,354","3,344","3,184","3,168","8,830","8,496",787,"15,756",14,7,7,339,75,"8,496","95,030.61 ","80,229.00 ","31,341.00 ",723,720,"3,629",146,57,2,3,1,73,10
"55445, Minneapolis, MN",55445,"9,092","1,941","1,926","1,955","1,937","4,570","4,402",409,"8,683",17,4,15,169,27,"4,402","93,755.09 ","84,294.00 ","32,556.00 ",446,444,"2,033",95,33,5,2,2,50,3
"55446, Minneapolis, MN",55446,"19,313","2,757","2,759",927,921,"14,914","14,535",556,"18,757",10,1,11,360,40,"14,535","156,278.77 ","119,461.00 ","60,579.00 ",852,849,"6,201",138,23,4,3,0,106,2
"55447, Minneapolis, MN",55447,"21,492","1,178","1,177","1,216","1,203","18,290","17,912",575,"20,917",19,8,6,365,62,"17,912","120,355.10 ","92,919.00 ","49,185.00 ",371,370,"7,894",136,26,1,1,0,102,6
"55448, Minneapolis, MN",55448,"29,402","1,240","1,227","1,670","1,631","25,020","24,598",876,"28,526",27,19,4,450,101,"24,598","93,928.69 ","79,268.00 ","34,647.00 ",290,290,"9,817",201,53,6,0,5,121,16
"55449, Minneapolis, MN",55449,"24,525","2,878","2,842","1,031","1,014","19,431","19,014",764,"23,761",11,10,19,444,58,"19,014","116,474.20 ","100,510.00 ","41,492.00 ",782,777,"7,460",176,48,3,5,2,110,8
"55450, Minneapolis, MN",55450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0,0,0,0
"55454, Minneapolis, MN",55454,"11,843","1,410","1,406","3,991","3,979","5,790","5,604",386,"11,457",15,9,5,182,29,"5,604","31,221.99 ","18,076.00 ","10,162.00 ",474,472,946,68,23,6,2,1,31,5
"55455, Minneapolis, MN",55455,26,3,2,1,1,21,21,1,25,0,0,0,1,0,21,"86,400.00 ","87,500.00 ","7,462.00 ",0,0,1,0,0,0,0,0,0,0
"56011, Belle Plaine, MN",56011,"9,198",143,135,80,75,"8,674","8,597",183,"9,015",1,0,1,100,12,"8,597","86,838.19 ","75,719.00 ","31,523.00 ",26,26,"3,183",34,12,0,0,0,21,1
"56017, Cleveland, MN",56017,"1,800",5,8,2,3,"1,769","1,741",31,"1,769",0,0,0,17,2,"1,741","82,685.69 ","74,468.00 ","32,606.00 ",1,1,704,6,2,0,0,0,4,0
"56044, Henderson, MN",56044,"2,411",10,12,3,4,"2,349","2,293",68,"2,343",0,0,0,48,4,"2,293","75,170.72 ","66,781.00 ","28,973.00 ",2,2,921,14,4,0,0,0,10,0
"56050, Kasota, MN",56050,"1,528",6,7,10,12,"1,481","1,453",30,"1,498",0,0,0,20,3,"1,453","71,941.15 ","62,774.00 ","29,382.00 ",1,1,616,6,2,0,0,0,3,1
"56057, Le Center, MN",56057,"4,403",41,50,10,11,"4,120","3,732",556,"3,847",1,1,0,367,6,"3,732","78,529.50 ","63,753.00 ","30,237.00 ",8,8,"1,605",139,46,1,0,0,91,1
"56313, Bock, MN",56313,118,1,0,1,1,115,115,1,117,0,0,0,1,0,115,"74,905.90 ","65,625.00 ","26,661.00 ",0,0,42,0,0,0,0,0,0,0
"56359, Onamia, MN",56359,"3,792",14,11,37,36,"2,528","2,505",75,"3,717",1,17,3,24,8,"2,505","51,420.16 ","38,700.00 ","20,632.00 ",4,3,"1,094",14,4,0,1,2,6,1
"56363, Pease, MN",56363,191,0,0,0,0,190,189,1,190,0,0,0,1,0,189,"78,737.24 ","64,063.00 ","27,208.00 ",0,0,66,0,0,0,0,0,0,0
"56386, Wahkon, MN",56386,436,1,0,0,0,390,387,6,430,0,2,1,1,1,387,"65,206.88 ","45,500.00 ","27,740.00 ",0,0,173,1,0,0,0,1,0,0
