Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita (), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"60203, Evanston, IL",60203,"4,903",419,451,522,560,"3,716","3,396",339,"4,564",8,4,4,226,27,"3,396","166,716.97 ","124,150.00 ","60,729.00 ",141,139,"1,411",78,18,2,2,1,53,2
"60301, Oak Park, IL",60301,"2,350",245,262,441,465,"1,554","1,392",175,"2,175",10,0,2,105,17,"1,392","78,733.44 ","65,111.00 ","46,414.00 ",121,119,990,75,14,7,2,0,49,3
"60302, Oak Park, IL",60302,"34,504","1,727","1,832","7,450","7,822","23,386","21,186","2,392","32,112",150,20,17,"1,471",246,"21,186","121,454.15 ","85,483.00 ","54,740.00 ",720,717,"10,541",834,183,41,3,5,545,57
"60304, Oak Park, IL",60304,"19,436",948,987,"4,301","4,484","12,437","10,534","2,631","16,805",98,24,23,"1,510",207,"10,534","109,930.26 ","91,506.00 ","41,806.00 ",339,334,"4,897",671,205,21,5,6,397,37
"60305, River Forest, IL",60305,"9,334",461,521,629,697,"7,880","7,301",609,"8,725",17,7,3,406,55,"7,301","181,078.94 ","122,059.00 ","67,355.00 ",155,155,"2,937",156,24,3,0,3,115,11
"60402, Berwyn, IL",60402,"63,903","1,708","1,399","3,830","3,017","41,110","19,536","39,306","24,597",395,377,115,"22,275","1,882","19,536","70,351.91 ","57,031.00 ","24,096.00 ",541,523,"15,172","10,098","3,738",62,18,87,"5,754",439
"60403, Crest Hill, IL",60403,"17,764",530,495,"2,218","2,139","13,317","11,218","3,606","14,158",34,32,24,"2,162",233,"11,218","70,748.48 ","58,834.00 ","28,904.00 ",158,154,"5,806",923,293,5,4,7,569,45
"60404, Shorewood, IL",60404,"17,713",326,333,"1,072","1,099","15,152","13,494","2,466","15,247",23,19,8,"1,579",134,"13,494","103,434.16 ","96,121.00 ","35,936.00 ",105,104,"5,467",565,165,5,1,3,374,17
"60406, Blue Island, IL",60406,"23,969",148,93,"7,639","7,174","10,373","4,857","11,549","12,420",188,197,51,"5,807",605,"4,857","58,207.23 ","48,586.00 ","19,807.00 ",46,38,"3,616","2,690","1,117",23,8,38,"1,364",140
"60407, Braceville, IL",60407,"2,160",7,8,14,15,"2,056","1,974",113,"2,047",1,1,0,72,11,"1,974","75,478.89 ","69,375.00 ","27,048.00 ",1,1,751,23,7,0,0,0,15,1
"60408, Braidwood, IL",60408,"5,627",31,41,75,90,"5,324","5,042",332,"5,295",7,1,0,220,37,"5,042","72,180.12 ","66,171.00 ","26,302.00 ",8,8,"1,963",75,15,0,0,1,53,6
"60409, Calumet City, IL",60409,"38,907",168,151,"26,700","26,453","8,532","5,658","6,038","32,869",327,215,17,"2,792",338,"5,658","63,770.06 ","50,176.00 ","24,027.00 ",52,50,"3,675","1,426",557,61,2,39,706,61
"60410, Channahon, IL",60410,"12,844",91,100,218,251,"11,998","11,054","1,229","11,615",6,15,7,856,73,"11,054","108,461.40 ","97,503.00 ","35,416.00 ",27,26,"3,982",242,66,2,1,4,152,17
"60411, Chicago Heights, IL",60411,"56,961",431,396,"27,332","27,270","21,729","14,239","13,927","43,034",479,225,41,"7,050",878,"14,239","66,421.62 ","52,673.00 ","22,216.00 ",121,113,"8,269","3,219","1,210",79,8,48,"1,722",152
"60415, Chicago Ridge, IL",60415,"15,559",327,441,"1,020","1,354","13,060","11,185","2,037","13,522",38,23,7,"1,233",153,"11,185","66,854.89 ","57,960.00 ","26,533.00 ",93,92,"5,235",601,178,9,1,3,379,31
"60416, Coal City, IL",60416,"9,086",24,28,32,36,"8,773","8,416",455,"8,631",2,1,1,321,36,"8,416","79,448.38 ","70,242.00 ","30,467.00 ",5,5,"3,413",93,26,0,0,1,62,4
"60417, Crete, IL",60417,"15,546",145,147,"4,373","4,417","10,132","9,441","1,238","14,308",55,14,1,582,136,"9,441","93,092.08 ","76,459.00 ","36,445.00 ",37,36,"4,324",301,130,9,1,4,142,15
"60419, Dolton, IL",60419,"21,845",73,73,"19,810","19,729","1,381","1,076",661,"21,184",120,17,0,265,53,"1,076","79,404.98 ","67,386.00 ","27,170.00 ",24,24,676,162,48,20,0,4,84,6
"60421, Elwood, IL",60421,"4,180",30,35,195,230,"3,805","3,558",295,"3,885",1,7,0,197,10,"3,558","83,490.45 ","73,322.00 ","31,118.00 ",6,6,"1,443",67,23,0,0,1,42,1
"60422, Flossmoor, IL",60422,"9,748",243,249,"4,526","4,579","4,593","4,226",433,"9,315",66,1,0,235,40,"4,226","150,770.65 ","118,243.00 ","55,618.00 ",89,89,"1,896",94,28,7,0,1,50,8
"60423, Frankfort, IL",60423,"31,543",800,888,"1,551","1,729","28,252","26,593","1,882","29,661",8,14,8,"1,328",143,"26,593","126,902.89 ","105,558.00 ","42,207.00 ",224,221,"9,589",407,83,2,3,3,295,21
"60425, Glenwood, IL",60425,"8,391",43,42,"5,274","5,318","2,573","2,100",745,"7,646",80,3,2,344,76,"2,100","80,932.63 ","69,562.00 ","30,655.00 ",13,13,"1,079",201,68,15,0,0,104,14
"60426, Harvey, IL",60426,"28,621",254,220,"22,209","21,775","3,035","1,150","5,097","23,524",208,57,32,"2,116",248,"1,150","51,130.56 ","36,633.00 ","16,675.00 ",50,45,942,"1,141",562,50,5,9,472,43
"60428, Markham, IL",60428,"12,177",89,86,"9,759","9,743","1,632","1,176",921,"11,256",68,13,3,403,84,"1,176","67,240.04 ","55,430.00 ","21,458.00 ",18,18,611,206,75,19,0,2,99,11
"60429, Hazel Crest, IL",60429,"15,814",122,119,"12,586","12,590","2,427","2,004",771,"15,043",101,9,4,315,66,"2,004","77,623.07 ","62,918.00 ","27,695.00 ",44,44,"1,167",171,62,15,0,2,84,8
"60430, Homewood, IL",60430,"20,663",317,331,"7,474","7,810","11,816","10,639","1,295","19,368",95,6,4,696,160,"10,639","95,009.28 ","80,134.00 ","37,368.00 ",104,103,"5,008",305,84,20,1,2,179,19
"60431, Joliet, IL",60431,"22,338",632,607,"2,607","2,523","17,038","14,909","3,864","18,474",56,36,18,"2,168",227,"14,909","97,383.57 ","88,694.00 ","33,417.00 ",172,169,"6,168",874,321,7,3,5,499,39
"60432, Joliet, IL",60432,"22,003",60,26,"5,197","4,205","10,746","4,331","13,223","8,780",210,65,29,"7,242",688,"4,331","57,116.37 ","42,312.00 ","16,742.00 ",15,13,"3,160","3,009","1,131",22,2,11,"1,709",134
"60433, Joliet, IL",60433,"17,310",75,51,"6,090","5,528","8,676","5,788","5,672","11,638",159,59,20,"3,316",328,"5,788","64,470.78 ","53,408.00 ","21,733.00 ",14,12,"3,013","1,261",408,21,2,13,766,51
"60435, Joliet, IL",60435,"49,478","1,220","1,097","7,505","6,935","34,124","27,736","12,757","36,721",193,110,64,"6,875",868,"27,736","76,716.18 ","64,477.00 ","29,068.00 ",329,322,"13,694","3,017","1,150",38,7,17,"1,670",135
"60436, Joliet, IL",60436,"16,462",153,128,"4,223","3,902","9,434","7,110","4,987","11,475",74,52,17,"2,601",401,"7,110","61,408.12 ","47,936.00 ","23,124.00 ",47,45,"3,900","1,159",449,6,2,9,617,76
"60437, Kinsman, IL",60437,145,1,1,0,0,139,134,8,137,0,0,0,4,0,135,"79,627.96 ","69,643.00 ","29,124.00 ",0,0,52,1,1,0,0,0,0,0
"60438, Lansing, IL",60438,"30,228",293,303,"10,260","11,011","17,410","13,988","4,403","25,825",145,37,15,"2,459",318,"13,988","73,920.15 ","61,564.00 ","28,670.00 ",80,77,"7,130","1,133",378,30,3,9,657,56
"60439, Lemont, IL",60439,"23,647",750,902,263,314,"22,025","20,640","1,457","22,190",3,18,3,"1,119",76,"20,640","124,014.31 ","100,196.00 ","44,287.00 ",236,236,"7,879",320,59,0,0,5,247,9
"60440, Bolingbrook, IL",60440,"52,767","4,864","4,445","12,002","10,999","27,328","19,850","16,234","36,533",281,170,128,"8,572",981,"19,850","92,970.31 ","79,097.00 ","28,957.00 ","1,378","1,363","9,368","3,470","1,362",47,15,26,"1,867",153
"60441, Lockport, IL",60441,"36,665",547,558,"3,988","4,116","30,459","27,591","3,868","32,797",41,24,12,"2,653",191,"27,591","95,058.65 ","82,257.00 ","31,317.00 ",152,148,"10,922",804,229,4,4,9,534,24
"60442, Manhattan, IL",60442,"10,480",89,109,239,290,"9,780","9,173",730,"9,750",11,14,3,484,62,"9,173","106,998.32 ","85,455.00 ","35,879.00 ",23,23,"3,335",141,40,2,0,2,91,6
"60443, Matteson, IL",60443,"21,559",258,255,"15,448","15,493","4,983","4,340",958,"20,601",138,28,6,452,114,"4,340","93,501.62 ","76,588.00 ","34,624.00 ",90,89,"2,389",222,63,22,1,5,118,13
"60444, Mazon, IL",60444,"1,533",2,3,6,9,"1,479","1,416",86,"1,447",0,0,0,52,4,"1,416","91,358.79 ","71,920.00 ","33,970.00 ",0,0,554,18,11,0,0,0,7,0
"60445, Midlothian, IL",60445,"26,489",362,423,"2,862","3,506","20,950","17,895","4,179","22,310",61,54,24,"2,167",367,"17,895","75,400.15 ","66,075.00 ","30,101.00 ",111,110,"8,651",982,369,10,1,6,542,54
"60446, Romeoville, IL",60446,"40,249","2,839","2,541","4,987","4,418","26,165","19,662","12,849","27,400",159,192,63,"7,219",666,"19,662","84,687.30 ","74,743.00 ","25,799.00 ",747,742,"8,632","2,789","1,018",29,5,33,"1,595",109
"60447, Minooka, IL",60447,"14,092",171,161,418,410,"12,688","11,590","1,665","12,427",10,11,11,"1,094",101,"11,590","104,291.67 ","92,476.00 ","33,691.00 ",47,44,"4,210",302,105,4,3,2,171,17
"60448, Mokena, IL",60448,"25,657",671,793,376,437,"23,958","22,646","1,378","24,279",7,6,1,"1,058",87,"22,646","119,429.49 ","105,411.00 ","40,455.00 ",175,175,"8,298",288,53,0,0,2,225,8
"60449, Monee, IL",60449,"8,765",127,130,"1,562","1,596","6,654","6,037",831,"7,934",13,6,1,561,64,"6,037","101,431.35 ","84,531.00 ","36,908.00 ",36,36,"2,587",186,43,2,0,2,131,8
"60450, Morris, IL",60450,"20,837",122,132,146,146,"19,607","18,366","1,905","18,932",16,28,4,"1,180",85,"18,366","82,057.28 ","70,460.00 ","32,432.00 ",36,35,"7,826",375,143,2,1,6,201,22
"60451, New Lenox, IL",60451,"34,447",297,380,366,464,"32,810","30,800","2,231","32,216",11,30,6,"1,678",135,"30,800","110,088.42 ","97,629.00 ","36,453.00 ",67,66,"11,052",474,88,2,1,7,362,14
"60452, Oak Forest, IL",60452,"27,594","1,080","1,450","1,363","1,805","23,066","19,822","3,912","23,682",38,39,16,"2,217",326,"19,822","86,554.86 ","76,534.00 ","31,747.00 ",309,308,"8,654",913,320,5,1,10,525,52
"60453, Oak Lawn, IL",60453,"58,085","1,376","1,938","3,365","4,744","49,425","41,491","8,670","49,415",84,101,36,"5,490",498,"41,491","82,422.43 ","66,617.00 ","32,723.00 ",424,417,"19,881","2,246",655,20,7,25,"1,447",92
