Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita (), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"91204, Glendale, CA",91204,"16,173","3,108","3,304",362,338,"9,584","6,286","5,641","10,532",49,36,45,"2,988",370,"6,286","60,859.36 ","44,151.00 ","22,424.00 ","1,139","1,129","3,466","1,615",554,13,10,13,902,123
"91205, Glendale, CA",91205,"39,669","6,217","7,164",614,606,"26,854","19,805","10,208","29,461",94,117,71,"5,677",713,"19,805","56,894.76 ","43,915.00 ","21,375.00 ","2,215","2,194","10,281","3,213",989,21,21,35,"1,913",234
"91206, Glendale, CA",91206,"32,912","6,244","7,141",511,549,"22,980","18,622","4,875","28,037",36,54,66,"3,088",403,"18,622","90,512.56 ","65,318.00 ","36,269.00 ","2,381","2,366","9,411","1,671",374,12,15,19,"1,119",132
"91207, Glendale, CA",91207,"10,889","1,290","1,508",86,100,"8,727","7,610","1,160","9,729",2,12,20,781,97,"7,610","125,937.63 ","97,628.00 ","50,039.00 ",482,478,"3,564",398,79,2,4,3,295,15
"91208, Glendale, CA",91208,"16,060","2,341","2,656",129,131,"12,482","10,714","1,805","14,255",15,8,38,"1,298",154,"10,714","132,265.03 ","104,107.00 ","50,429.00 ",817,810,"4,887",545,84,4,7,5,404,41
"91210, Glendale, CA",91210,768,177,204,9,9,507,397,129,639,1,1,0,78,9,397,"54,836.78 ","37,283.00 ","25,789.00 ",74,74,248,51,14,1,0,0,32,4
"91214, La Crescenta, CA",91214,"31,420","8,681","9,368",206,207,"20,282","17,034","3,535","27,885",15,59,57,"2,387",348,"17,034","121,692.96 ","96,457.00 ","42,609.00 ","2,598","2,590","7,698",940,197,4,8,19,665,47
"91301, Agoura Hills, CA",91301,"26,194","2,001","2,358",364,412,"22,080","19,815","2,447","23,747",19,28,28,"1,624",208,"19,815","157,225.28 ","119,543.00 ","57,829.00 ",699,689,"8,331",665,119,6,10,7,478,45
"91302, Calabasas, CA",91302,"27,244","2,148","2,422",457,496,"23,030","21,221","1,811","25,433",21,20,18,"1,301",147,"21,221","203,855.48 ","144,286.00 ","73,303.00 ",717,713,"8,547",461,78,7,4,6,333,33
"91303, Canoga Park, CA",91303,"25,419","2,924","2,757","1,103",955,"12,861","5,706","15,001","10,418",104,150,42,"7,370",812,"5,706","66,544.06 ","57,105.00 ","22,419.00 ","1,062","1,052","4,834","3,629","1,444",22,10,44,"1,881",228
"91306, Winnetka, CA",91306,"45,722","8,460","8,256","2,100","1,901","22,556","11,497","22,337","23,385",177,198,110,"11,196","1,491","11,497","81,496.13 ","66,788.00 ","25,046.00 ","2,407","2,384","7,786","5,292","2,014",31,23,47,"2,809",368
"91316, Encino, CA",91316,"28,798","1,821","2,214","1,019","1,168","22,833","19,736","3,576","25,222",71,29,25,"2,062",309,"19,736","101,253.06 ","66,709.00 ","44,793.00 ",708,699,"10,411","1,182",314,20,9,9,732,98
"91321, Newhall, CA",91321,"37,177","2,667","2,835","1,152","1,081","24,223","14,694","16,983","20,194",170,168,90,"9,027",880,"14,694","89,996.11 ","65,244.00 ","29,370.00 ",816,795,"8,713","3,654","1,280",25,21,50,"2,101",177
"91324, Northridge, CA",91324,"27,576","5,055","5,188","1,266","1,188","15,177","9,282","10,722","16,854",122,89,60,"5,614",646,"9,282","94,507.22 ","68,091.00 ","31,687.00 ","1,596","1,575","5,584","2,496",899,22,21,25,"1,373",156
"91325, Northridge, CA",91325,"38,877","6,687","6,939","2,733","2,683","21,990","14,448","13,008","25,869",193,155,118,"6,934",987,"14,448","93,247.24 ","67,978.00 ","32,904.00 ","2,155","2,128","8,270","3,236","1,057",34,27,36,"1,814",268
"91326, Porter Ranch, CA",91326,"34,668","10,377","11,060","1,165","1,150","20,283","16,208","4,706","29,962",93,27,71,"3,137",328,"16,208","138,777.63 ","106,869.00 ","48,351.00 ","3,292","3,280","7,654","1,249",275,10,12,10,891,51
"91330, Northridge, CA",91330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0,0,0,0
"91331, Pacoima, CA",91331,"108,426","5,585","3,875","3,664","2,067","49,650","4,315","96,285","12,141",915,884,432,"47,916","4,508","4,315","66,487.53 ","55,712.00 ","14,666.00 ","1,740","1,675","10,924","18,943","7,727",136,65,200,"9,828",987
"91335, Reseda, CA",91335,"73,572","9,626","9,356","2,952","2,550","40,045","20,817","37,878","35,694",383,354,202,"19,336","2,212","20,817","74,863.86 ","60,010.00 ","23,794.00 ","2,969","2,927","13,700","8,619","3,249",70,42,91,"4,623",544
"91340, San Fernando, CA",91340,"32,977",579,247,649,243,"17,026","1,633","30,367","2,610",212,366,134,"16,176","1,265","1,633","73,369.68 ","57,769.00 ","18,009.00 ",181,155,"4,361","6,822","2,473",38,26,99,"3,859",327
"91342, Sylmar, CA",91342,"95,294","5,635","4,434","4,724","3,444","48,757","12,453","72,259","23,035",553,765,265,"38,539","3,133","12,453","83,702.31 ","68,060.00 ","22,200.00 ","1,660","1,624","13,573","15,413","5,600",83,36,183,"8,746",765
"91343, North Hills, CA",91343,"60,642","9,069","8,406","2,658","2,239","28,937","11,544","36,646","23,996",297,365,206,"18,071","2,039","11,544","80,684.24 ","61,426.00 ","22,998.00 ","2,614","2,581","8,888","8,161","3,282",54,33,86,"4,199",507
"91344, Granada Hills, CA",91344,"53,277","9,675","10,334","1,809","1,817","33,481","23,079","15,715","37,562",142,193,194,"9,206","1,043","23,079","107,843.98 ","85,585.00 ","35,577.00 ","2,872","2,853","11,970","3,755","1,102",26,19,46,"2,353",209
"91345, Mission Hills, CA",91345,"19,006","1,982","1,691",699,549,"10,353","3,281","12,919","6,087",72,146,51,"7,470",613,"3,281","84,032.23 ","66,835.00 ","24,008.00 ",581,574,"3,218","2,904",920,15,7,37,"1,777",148
"91350, Santa Clarita, CA",91350,"35,091","3,208","3,981",908,"1,052","26,387","20,024","8,166","26,925",84,93,89,"4,868",761,"20,024","129,691.07 ","114,269.00 ","41,839.00 ",952,932,"8,949","1,915",528,12,20,30,"1,203",122
"91351, Canyon Country, CA",91351,"32,199","2,497","2,748","1,126","1,156","20,936","13,898","12,788","19,411",107,126,76,"6,383",959,"13,898","100,344.19 ","82,229.00 ","31,831.00 ",724,709,"7,370","2,879","1,101",20,15,43,"1,522",178
"91352, Sun Valley, CA",91352,"48,303","3,314","2,570",860,563,"25,819","7,734","36,238","12,065",159,323,114,"19,147","1,587","7,734","75,020.77 ","54,382.00 ","19,234.00 ",997,974,"7,059","7,546","2,897",25,23,60,"4,149",392
