Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# Black Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita ($), 2014"
"47250, Madison, IN",47250,21613,209,202,489,469,20334,20143,482,21131,7,6,1,218,40,20143,59,58,133,8417,131,44,2,1,1,78,4,61662.833712984,47822,25523
"47240, Greensburg, IN",47240,21583,164,152,86,79,20941,20678,434,21149,6,3,9,271,24,20678,66,64,18,8218,78,20,3,2,1,48,4,65115.824215033,53950,25923
"46580, Warsaw, IN",46580,21401,312,325,235,237,19497,18264,2186,19215,10,32,3,1186,142,18264,81,80,72,7711,546,228,1,1,9,286,21,67974.823307814,52507,26889
"46619, South Bend, IN",46619,21084,151,93,5564,4959,11366,9454,6215,14869,132,74,49,2428,414,9454,45,35,1841,4534,1306,648,26,10,13,535,74,52018.786273164,42020,18622
"47546, Jasper, IN",47546,20684,130,123,62,57,19490,18999,1287,19397,5,10,6,494,57,18999,42,41,13,7836,337,159,1,1,3,159,14,78878.125552826,63013,31935
"46311, Dyer, IN",46311,20551,624,672,491,516,18457,16949,2044,18507,12,9,1,1395,149,16949,208,208,148,6955,507,124,1,0,3,360,19,103302.7964684,89688,38246
"47265, North Vernon, IN",47265,20399,61,63,170,167,19537,19305,523,19876,9,0,0,211,46,19305,17,17,63,7408,119,46,9,0,0,53,6,57802.080146674,48779,22001
"46952, Marion, IN",46952,20353,248,262,1274,1327,17849,17212,872,19481,23,4,1,507,93,17212,76,76,575,7858,189,56,5,0,1,111,16,62311.09947284,45153,27354
"47803, Terre Haute, IN",47803,20258,414,397,931,889,18270,18096,363,19895,13,6,4,233,23,18096,156,154,395,8009,101,22,3,2,0,69,5,70064.863201567,53158,30661
"47129, Clarksville, IN",47129,19960,142,121,1348,1280,16685,15772,2223,17737,76,32,22,901,111,15772,56,49,535,7511,549,288,19,7,7,217,11,53721.885046729,45239,23490
"47834, Brazil, IN",47834,19812,63,58,110,98,19310,19184,261,19551,5,1,1,151,18,19184,18,18,37,7572,41,14,0,0,0,24,3,60506.36637651,51786,23955
"46012, Anderson, IN",46012,19686,135,137,1203,1218,17854,17561,465,19221,11,9,1,257,40,17561,37,37,447,7314,107,33,1,0,3,64,6,64490.392047613,53801,26860
"46808, Fort Wayne, IN",46808,19660,402,415,1174,1231,16554,15623,1605,18055,32,10,17,755,260,15623,130,127,384,7204,405,147,3,3,6,208,38,53525.092652152,44831,22700
"46818, Fort Wayne, IN",46818,19248,555,593,531,570,17133,16356,1220,18028,11,13,14,630,117,16356,139,135,140,6683,301,119,5,4,3,159,11,71430.022043533,62843,27168
"46706, Auburn, IN",46706,19085,167,149,87,74,18473,18271,439,18646,5,3,2,242,51,18271,29,28,16,7344,112,34,2,1,2,65,8,67947.619614664,52759,27055
"47710, Evansville, IN",47710,18997,120,115,1083,1062,16999,16770,386,18611,17,4,4,237,35,16770,46,45,373,7392,122,25,3,1,3,79,11,55330.237618809,40672,24099
