Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# Black Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita ($), 2014"
"46562, Pierceton, IN",46562,4498,23,26,12,14,4299,4117,246,4252,0,2,1,161,13,4117,7,7,4,1648,58,15,0,0,0,42,1,66041.776864357,55685,25014
"47037, Osgood, IN",47037,4488,10,10,5,3,4403,4375,52,4436,2,1,0,28,13,4375,2,2,1,1687,8,2,0,0,0,4,2,65712.389214537,52101,25251
"46511, Culver, IN",46511,4470,22,22,51,54,4252,4160,117,4353,0,0,1,81,17,4160,5,5,21,1712,22,5,0,0,0,16,1,67445.64072194,54672,27027
"47346, Hagerstown, IN",47346,4466,18,18,28,24,4329,4306,41,4425,4,0,0,25,3,4306,4,4,4,1736,9,2,0,0,0,7,0,67085.695108077,53289,26426
"46746, Howe, IN",46746,4465,31,32,27,23,4039,3900,463,4002,5,1,0,135,25,3900,4,4,7,1404,78,46,0,0,0,29,3,58104.48069241,46777,19966
"47117, Elizabeth, IN",47117,4451,17,18,10,10,4343,4321,25,4426,0,0,0,17,1,4321,4,4,5,1666,5,1,0,0,0,4,0,67198.235642392,60820,25499
"47438, Jasonville, IN",47438,4427,10,11,6,6,4344,4325,31,4396,0,0,0,14,8,4325,2,2,2,1717,10,1,0,0,0,7,2,55003.957568807,46415,21881
"47327, Cambridge City, IN",47327,4422,13,13,12,12,4321,4297,37,4385,0,4,0,26,3,4297,3,3,4,1745,11,2,0,0,1,8,0,64975.288298474,45538,25996
"46793, Waterloo, IN",46793,4419,11,9,12,10,4254,4226,125,4294,0,2,0,42,30,4226,2,2,2,1574,23,12,0,0,0,7,4,64705.882535736,51653,23865
"47874, Rosedale, IN",47874,4416,21,20,35,34,4280,4255,43,4373,0,1,0,29,2,4255,6,6,16,1702,10,3,0,0,1,5,1,63711.422413793,56505,25131
"46542, Milford, IN",46542,4390,12,14,16,17,4091,3865,439,3951,2,7,1,210,23,3865,3,3,3,1486,111,57,0,0,1,49,4,65791.288718929,58021,23746
"46538, Leesburg, IN",46538,4380,35,44,9,10,4219,4089,169,4211,1,2,0,105,12,4089,10,10,4,1693,42,13,0,0,1,26,2,75670.288106236,60775,29923
"47106, Borden, IN",47106,4378,21,25,16,19,4248,4190,89,4289,1,0,1,37,6,4190,6,6,4,1615,23,11,0,0,0,12,0,79789.498179612,69427,30101
"47406, Bloomington, IN",47406,4348,285,273,118,110,3794,3736,125,4223,4,0,1,77,8,3736,1,1,0,7,0,0,0,0,0,0,0,56000,50000,2705
"46740, Geneva, IN",46740,4274,6,7,9,11,4166,4099,102,4172,0,1,0,54,4,4099,3,3,3,1339,20,9,0,0,0,11,0,68719.950146628,49727,22006
"46371, Rolling Prairie, IN",46371,4226,4,4,25,29,4056,3843,288,3938,1,0,1,196,10,3843,1,1,6,1516,59,21,1,0,0,34,1,76046.468427835,66452,27928
"47126, Henryville, IN",47126,4224,12,12,40,44,4104,4067,43,4181,0,0,1,26,5,4067,5,4,2,1509,8,3,0,1,0,3,1,74459.962264151,71667,27584
"47246, Hope, IN",47246,4212,37,36,34,29,4042,4010,73,4139,5,1,1,31,12,4010,9,9,7,1486,12,2,1,0,1,7,1,68077.17259552,58429,24973
"46932, Galveston, IN",46932,4159,17,17,14,13,4008,3941,116,4043,1,1,0,66,10,3941,2,2,3,1588,31,8,1,0,0,22,0,70291.483990148,62042,27447
"46075, Whitestown, IN",46075,4151,48,49,52,53,3958,3902,82,4069,1,2,0,51,5,3902,12,12,14,1521,30,6,1,0,0,20,3,94651.455928979,76683,35959
"47562, Odon, IN",47562,4133,6,7,5,6,4086,4067,19,4114,0,0,0,13,2,4067,1,1,0,1540,4,0,0,0,0,4,0,62270.65203357,51411,23512
"47459, Solsberry, IN",47459,4102,4,5,8,9,4025,4003,25,4077,0,0,0,13,6,4003,2,2,2,1564,2,1,0,0,0,1,0,65076.58044164,52968,25145
"47136, Lanesville, IN",47136,4092,29,30,15,14,3999,3974,35,4057,1,1,0,24,3,3974,4,4,5,1527,11,1,0,0,1,9,0,85495.330744337,74247,32280
"46797, Woodburn, IN",46797,4078,3,4,4,6,4020,3978,45,4033,0,0,0,27,4,3978,2,2,0,1412,10,4,0,0,0,6,0,70524.016151685,64248,24781
"47987, Veedersburg, IN",47987,4053,4,4,7,7,3921,3805,178,3875,2,2,1,99,3,3805,1,0,1,1581,44,18,1,1,1,21,2,60750.054388134,51741,24280
"47512, Bicknell, IN",47512,3985,5,5,19,13,3895,3856,61,3924,7,0,0,35,8,3856,2,2,4,1601,9,4,1,0,0,4,0,51667.357493857,39297,21145
"47305, Muncie, IN",47305,3976,18,18,553,544,3155,3109,110,3866,5,5,0,51,18,3109,7,7,219,1408,35,8,3,0,3,16,4,35043.537069469,26010,16452
"47901, Lafayette, IN",47901,3965,105,109,244,254,3341,3144,291,3674,5,3,2,167,23,3144,61,60,90,1701,98,34,1,1,1,55,6,44711.487679672,29336,22578
"46979, Russiaville, IN",46979,3945,15,17,28,30,3840,3800,54,3891,1,2,0,31,8,3800,2,2,13,1454,9,2,1,0,0,6,0,90926.490872211,72423,34139
"47336, Dunkirk, IN",47336,3931,3,3,14,15,3866,3827,45,3886,0,0,0,36,2,3827,1,1,3,1531,13,4,0,0,0,9,0,60922.782720825,47890,24312
"46741, Grabill, IN",46741,3900,18,18,18,21,3798,3737,65,3835,1,1,3,43,10,3737,4,4,3,1219,11,1,0,0,0,9,1,69094.192897498,63907,22015
"46573, Wakarusa, IN",46573,3878,23,31,22,27,3747,3669,85,3793,2,2,0,47,4,3669,6,6,2,1345,23,7,0,0,0,16,0,74043.739257101,59722,26891
"47164, Palmyra, IN",47164,3863,26,27,7,7,3765,3738,34,3829,0,1,0,24,5,3738,7,7,2,1461,6,1,0,0,0,4,1,68076.300535475,61985,26460
"47923, Brookston, IN",47923,3833,11,11,3,2,3748,3701,77,3756,1,0,1,43,9,3701,1,1,1,1460,20,5,1,0,0,13,1,71737.439189189,64953,27709
"46065, Rossville, IN",46065,3826,12,12,13,13,3750,3734,33,3793,0,1,0,14,3,3734,4,4,1,1349,7,4,0,0,0,3,0,77614.13240673,70281,28473
"47838, Carlisle, IN",47838,3822,2,2,957,952,2813,2746,99,3723,9,0,0,63,2,2746,0,0,1,781,6,2,0,0,0,4,0,65583.865822785,54480,15547
"47022, Guilford, IN",47022,3778,10,10,4,4,3739,3727,19,3759,0,0,0,12,3,3727,3,3,1,1367,3,0,0,0,0,3,0,86653.053701016,76277,31606
"46543, Millersburg, IN",46543,3771,2,3,13,22,3707,3624,89,3682,0,4,0,59,6,3624,0,0,1,1078,17,6,0,0,1,9,1,90539.585321101,68558,26170
"47993, Williamsport, IN",47993,3766,18,18,6,5,3698,3681,29,3737,1,0,0,18,3,3681,4,4,0,1469,4,3,0,0,0,0,1,66152.470985155,53328,26258
"47143, Memphis, IN",47143,3750,27,32,46,52,3613,3550,68,3682,2,0,0,43,9,3550,9,9,18,1363,15,2,0,0,0,13,0,85590.072805139,75502,32015
"46553, New Paris, IN",46553,3746,7,13,4,8,3665,3525,142,3604,0,2,0,102,6,3525,1,1,0,1261,32,10,0,0,0,22,0,70691.998436278,61972,24163
"46787, South Whitley, IN",46787,3745,6,6,6,6,3675,3649,53,3692,0,0,0,27,16,3649,1,1,0,1430,8,2,0,0,0,6,0,70045.206944444,61850,27017
"47581, Shoals, IN",47581,3721,7,7,3,3,3643,3621,35,3686,0,2,0,23,5,3621,1,1,1,1516,7,1,0,0,1,5,0,56433.169602087,48352,23653
"46501, Argos, IN",46501,3706,6,8,7,8,3545,3458,161,3545,1,2,0,68,26,3458,1,1,2,1310,26,13,0,0,0,12,1,63742.204899777,52926,23191
"47118, English, IN",47118,3695,9,13,6,8,3613,3565,52,3643,0,2,0,26,6,3565,2,2,1,1456,9,2,0,0,0,6,1,54526.773188896,42197,22017
"47433, Gosport, IN",47433,3674,7,7,12,12,3608,3592,23,3651,0,0,0,17,2,3592,1,1,4,1407,5,1,0,0,0,4,0,63865.037894737,55450,24818
"46773, Monroeville, IN",46773,3669,3,4,5,7,3601,3536,72,3597,0,0,0,45,6,3536,1,1,2,1360,13,4,0,0,0,8,1,70716.14213198,60053,27426
"46349, Lake Village, IN",46349,3659,10,15,19,26,3530,3401,169,3490,1,3,0,99,16,3401,1,1,4,1370,41,9,0,0,1,29,2,65881.05511811,58233,25466
"47648, Fort Branch, IN",47648,3656,32,33,16,16,3534,3524,23,3633,0,0,0,8,1,3524,9,9,5,1450,5,4,0,0,0,1,0,72620.020311442,62807,29339
"46788, Spencerville, IN",46788,3652,16,19,11,12,3562,3518,54,3598,1,2,0,32,9,3518,1,1,2,1138,8,1,0,0,0,6,1,77246.239130435,69600,24565
"46536, Lakeville, IN",46536,3611,9,9,26,30,3507,3444,79,3532,0,0,1,52,7,3444,5,5,10,1403,20,5,0,0,0,14,1,66569.829505915,51812,26540
"46742, Hamilton, IN",46742,3587,8,9,6,7,3532,3502,34,3553,0,2,0,25,1,3502,2,2,1,1397,8,1,0,0,0,6,1,78016.460014154,64114,30734
"47523, Dale, IN",47523,3582,18,19,8,8,3241,3153,371,3211,2,2,3,76,22,3153,2,2,2,1307,59,36,0,0,0,19,4,63054.923857868,56865,25608
"47161, New Salisbury, IN",47161,3576,10,11,18,19,3493,3450,48,3528,0,0,0,38,2,3450,3,3,6,1337,10,3,0,0,0,7,0,63517.885462555,58195,24324
"46504, Bourbon, IN",46504,3543,19,21,9,9,3427,3320,149,3394,1,0,0,100,16,3320,2,2,3,1244,32,9,0,0,0,20,3,64279.305993691,53682,23013
"47868, Poland, IN",47868,3518,6,6,11,11,3432,3413,25,3493,0,0,0,20,0,3413,1,1,2,1373,5,1,0,0,0,4,0,63057.312097352,49050,25040
"47032, Moores Hill, IN",47032,3477,23,21,4,4,3412,3404,19,3458,0,0,0,12,3,3404,3,3,2,1250,7,1,0,0,0,5,1,67186.831886346,58643,24560
"47638, Wadesville, IN",47638,3477,8,8,6,5,3437,3424,17,3460,1,1,0,13,0,3424,1,1,0,1289,8,0,1,0,1,6,0,78883.885890517,69643,29431
"47665, Owensville, IN",47665,3471,10,10,16,15,3389,3370,38,3433,1,0,0,20,7,3370,2,2,5,1302,15,2,0,0,0,11,2,70741.739591219,63400,27711
"46510, Claypool, IN",46510,3470,11,14,10,13,3357,3287,85,3385,0,5,0,49,9,3287,2,2,2,1281,20,6,0,0,1,11,2,67298.979310345,62543,25310
"47520, Cannelton, IN",47520,3469,5,4,4,4,3411,3390,33,3436,0,0,0,27,3,3390,2,2,1,1434,5,0,0,0,0,5,0,52486.546206896,45081,22196
"47944, Fowler, IN",47944,3465,9,12,15,18,3329,3177,197,3268,3,0,1,122,23,3177,3,3,4,1327,43,16,1,0,0,22,4,67246.674963397,53091,26828
"46157, Monrovia, IN",46157,3452,16,15,24,23,3353,3330,40,3412,0,4,0,27,4,3330,2,2,3,1225,12,1,0,0,1,9,1,94103.038523275,69659,33982
"47598, Winslow, IN",47598,3450,4,4,7,7,3392,3376,31,3419,1,2,0,12,7,3376,1,1,4,1357,6,3,0,0,0,2,1,56388.162672476,43841,22593
"47334, Daleville, IN",47334,3446,21,19,15,14,3356,3350,22,3424,0,0,0,14,2,3350,5,5,8,1355,6,1,0,0,0,5,0,67477.895878525,55212,27085
"47024, Laurel, IN",47024,3434,3,3,5,6,3375,3352,41,3393,0,1,0,19,4,3352,0,0,1,1248,5,2,0,0,0,2,1,50195.622222222,41760,18418
"47320, Albany, IN",47320,3420,4,4,14,14,3345,3331,25,3395,1,0,0,11,5,3331,0,0,2,1391,5,0,0,0,0,4,1,83446.634492548,47816,34611
"47283, Westport, IN",47283,3382,4,4,9,9,3311,3286,32,3350,0,0,0,26,4,3286,0,0,2,1266,5,1,0,0,0,4,0,61284.063664596,56037,23345
"46792, Warren, IN",46792,3373,6,6,8,8,3310,3283,45,3328,0,0,0,27,8,3283,0,0,2,1339,10,3,0,0,0,7,0,65377.309682188,54734,26225
"46071, Thorntown, IN",46071,3338,3,3,4,4,3295,3267,41,3297,0,0,0,29,6,3267,0,0,1,1222,8,2,0,0,0,4,2,78487.092382496,63194,29018
"47879, Shelburn, IN",47879,3269,7,7,1,1,3198,3188,18,3251,0,0,0,13,2,3188,1,1,0,1259,5,1,0,0,0,4,0,58219.917711599,47597,22788
"46030, Arcadia, IN",46030,3247,14,15,17,17,3148,3125,42,3205,1,4,0,18,8,3125,2,2,2,1171,11,3,0,0,1,6,1,82249.186397985,65744,30383
"47338, Eaton, IN",47338,3206,3,3,13,12,3124,3090,46,3160,0,1,0,37,1,3090,0,0,2,1223,10,1,0,0,1,8,0,68226.791599354,53917,26559
"46732, Cromwell, IN",46732,3201,12,10,8,4,2814,2578,544,2657,5,6,5,214,35,2578,2,2,2,1023,102,64,0,0,1,35,2,62368.241410488,51361,21649
"46147, Jamestown, IN",46147,3191,19,20,6,6,3132,3108,31,3160,0,0,0,21,4,3108,1,1,1,1172,8,2,0,0,0,4,1,77508.540220152,61013,28688
"46772, Monroe, IN",46772,3167,4,5,4,5,3134,3101,42,3125,0,0,0,27,2,3101,1,1,0,829,9,2,0,0,0,7,0,62719.142685851,51528,16517
"46044, Frankton, IN",46044,3138,9,10,21,23,3059,3016,64,3074,0,0,0,38,3,3016,1,1,6,1222,16,5,0,0,0,10,0,71387.409347301,65085,28237
"46910, Akron, IN",46910,3124,1,0,3,5,2753,2614,446,2678,1,21,1,102,18,2614,0,0,1,1027,107,73,0,0,7,23,4,60941.247141601,52390,22180
"46161, Morristown, IN",46161,3121,4,4,3,3,3064,3034,44,3077,0,0,0,31,4,3034,1,1,2,1187,8,2,0,0,0,6,0,72546.825726141,63636,28438
"47229, Crothersville, IN",47229,3114,14,17,3,4,3018,3000,50,3064,0,0,0,7,18,3000,2,2,0,1183,7,5,0,0,0,2,0,56208.521594684,45521,21742
"47959, Monon, IN",47959,3070,11,11,22,13,2523,2373,586,2484,9,0,0,146,30,2373,1,1,1,991,104,71,2,0,0,25,6,58971.308597285,47922,21627
"46938, Jonesboro, IN",46938,3031,4,5,14,16,2930,2866,66,2965,0,2,0,50,3,2866,1,1,4,1170,16,1,0,0,0,14,1,60088.770780856,49297,23618
"47018, Dillsboro, IN",47018,3022,12,11,4,4,2975,2971,12,3010,0,0,0,8,2,2971,1,1,0,1156,3,1,0,0,0,2,0,70324.452991453,62054,28055
"46929, Flora, IN",46929,2954,3,3,8,8,2885,2814,91,2863,2,0,1,57,8,2814,1,0,4,1165,23,8,0,1,0,12,2,61534.445945946,50742,24664
"47355, Lynn, IN",47355,2948,12,11,25,30,2869,2813,68,2880,0,0,3,45,3,2813,3,2,8,1120,20,4,0,1,0,14,1,72407.377738826,55087,28025
"47579, Santa Claus, IN",47579,2922,11,14,5,7,2871,2855,35,2887,0,0,0,8,4,2855,0,0,2,1096,6,2,0,0,0,3,1,87443.647963801,76992,33068
"47359, Montpelier, IN",47359,2884,3,3,7,7,2822,2795,39,2845,0,0,0,24,1,2795,1,1,3,1117,12,3,0,0,0,9,0,54325.823321555,44187,21326
"47633, Poseyville, IN",47633,2831,5,5,9,10,2792,2780,14,2817,0,1,0,10,1,2780,1,1,0,1134,4,0,0,0,1,3,0,71220.289473684,60646,28708
"46555, North Webster, IN",46555,2815,10,15,8,12,2726,2672,62,2753,0,0,0,28,14,2672,2,2,2,1139,11,7,0,0,0,4,0,61671.10320902,49423,25261
"46539, Mentone, IN",46539,2796,8,9,8,9,2625,2541,178,2618,1,6,1,65,20,2541,1,1,2,983,48,27,0,0,2,17,2,63327.96303502,53739,23288
"47232, Elizabethtown, IN",47232,2795,10,7,22,16,2588,2570,159,2636,5,0,3,23,6,2570,1,1,6,973,30,25,1,0,0,4,0,74613.076171875,65553,27354
"47952, Kingman, IN",47952,2752,2,3,4,3,2704,2666,47,2705,2,0,0,26,11,2666,0,0,0,1079,6,1,0,0,0,4,1,60022.395412844,46163,23841
"46171, Reelsville, IN",46171,2711,5,4,484,480,2160,2136,57,2654,3,0,1,25,2,2136,1,1,2,597,2,1,0,0,0,1,0,89254.299509002,82914,22170
"46068, Sharpsville, IN",46068,2705,27,25,9,7,2608,2570,75,2630,1,0,0,43,8,2570,7,7,1,1027,14,5,0,0,0,8,1,69885.300285987,60173,27111
"46770, Markle, IN",46770,2701,5,5,12,10,2655,2643,23,2678,1,0,0,14,5,2643,1,1,0,1013,8,1,1,0,0,5,1,83015.955078125,66921,31775
"47140, Marengo, IN",47140,2684,6,8,3,4,2613,2579,39,2645,0,2,0,19,7,2579,1,1,1,1071,4,1,0,0,1,1,1,45986.434463795,37914,18766
"46747, Hudson, IN",46747,2668,8,9,3,4,2618,2582,52,2616,0,0,1,30,6,2582,1,1,1,1003,10,3,0,0,0,5,2,56698.687684729,48439,21570
"47340, Farmland, IN",47340,2665,3,4,5,6,2615,2592,24,2641,0,5,0,14,1,2592,1,1,2,1033,3,1,0,0,0,2,0,61872.627862595,46462,24392
"46051, Lapel, IN",46051,2643,6,6,15,11,2583,2555,31,2612,4,1,0,26,0,2555,2,2,5,1008,5,0,0,0,1,4,0,68906.380392157,57360,26593
"47613, Elberfeld, IN",47613,2622,8,8,9,5,2562,2551,21,2601,4,3,0,9,3,2551,1,1,2,990,5,1,0,0,1,3,0,73707.930139721,62004,28186
"47920, Battle Ground, IN",47920,2614,8,9,12,14,2536,2484,58,2556,0,0,0,44,4,2484,2,2,4,968,9,3,0,0,0,6,0,79860.789420142,70232,30032
"47383, Selma, IN",47383,2575,9,9,14,14,2514,2500,23,2552,0,2,0,15,3,2500,1,1,5,998,8,1,0,0,2,4,1,68225.006910168,56882,27014
"47342, Gaston, IN",47342,2562,7,6,5,5,2487,2468,47,2515,0,0,1,20,6,2468,2,1,2,1009,11,4,0,1,0,5,1,68340.48828125,57900,27351
"46940, La Fontaine, IN",46940,2542,5,6,6,7,2493,2463,35,2507,0,0,0,24,5,2463,1,1,1,940,11,4,0,0,0,6,1,63605.223849372,54933,24355
"47850, Farmersburg, IN",47850,2497,8,7,11,9,2444,2432,24,2473,0,0,0,19,1,2432,3,3,2,1007,5,0,0,0,0,4,1,64995.788442703,56950,26576
"47368, Parker City, IN",47368,2496,3,3,10,11,2450,2438,13,2483,0,0,0,9,1,2438,1,1,2,961,3,1,0,0,0,2,0,61257.78784758,48896,24575
"46982, Silver Lake, IN",46982,2494,6,8,9,11,2392,2337,86,2408,1,1,0,35,11,2337,1,1,1,931,17,10,0,0,0,6,1,61828.712184874,55947,23720
"46390, Wanatah, IN",46390,2437,7,9,9,8,2356,2289,69,2368,3,2,0,50,6,2289,3,3,0,924,13,3,1,0,0,8,1,70407.438297872,66908,27158
"47115, Depauw, IN",47115,2405,9,11,4,4,2359,2337,22,2383,1,0,0,15,1,2337,2,2,1,917,6,1,0,0,0,5,0,74011.282795699,64198,28659
"46056, Markleville, IN",46056,2381,7,6,11,11,2334,2314,23,2358,1,0,1,17,1,2314,2,2,1,901,7,0,0,0,0,7,0,78216.166849616,60656,29966
"46130, Fountaintown, IN",46130,2378,8,8,6,6,2343,2321,29,2349,0,1,0,23,2,2321,2,2,1,871,5,1,0,0,0,4,0,93683.560090703,81090,34749
"47326, Bryant, IN",47326,2355,3,5,3,5,2319,2284,36,2319,0,0,0,22,0,2284,1,1,1,678,7,3,0,0,0,4,0,65198.518950437,61161,18997
"47471, Worthington, IN",47471,2347,3,4,2,2,2309,2287,31,2316,0,0,0,17,4,2287,1,1,1,940,5,2,0,0,0,2,1,54481.056603774,41483,22145
"46994, Walton, IN",46994,2337,15,14,6,3,2192,2121,163,2174,3,0,1,72,2,2121,5,5,1,868,41,19,1,0,0,20,1,60834.655665567,52174,23662
"46172, Roachdale, IN",46172,2330,5,5,5,5,2283,2280,9,2321,0,0,0,4,3,2280,0,0,3,907,3,1,0,0,0,1,1,61666.273420479,55541,24300
"46784, Rome City, IN",46784,2329,5,6,6,8,2296,2260,40,2289,0,0,0,30,2,2260,2,2,3,879,8,1,0,0,0,7,0,63773.542792793,53125,24320
"47108, Campbellsburg, IN",47108,2311,5,5,4,4,2284,2270,18,2293,0,1,0,14,0,2270,0,0,1,880,3,0,0,0,0,3,0,52882.096956032,41056,20297
"47011, Bennington, IN",47011,2297,3,4,8,9,2241,2228,24,2273,0,0,0,6,1,2228,1,1,3,821,4,2,0,0,0,2,0,65363.770609319,54796,23818
"46382, Union Mills, IN",46382,2294,3,3,19,21,2221,2172,52,2242,0,0,0,41,6,2172,1,1,4,831,11,2,0,0,0,7,2,78100.829988194,68686,28837
"47341, Fountain City, IN",47341,2288,17,17,16,16,2212,2208,7,2281,0,0,0,4,1,2208,1,1,11,826,1,1,0,0,0,0,0,65709.017709563,54420,24325
"46058, Mulberry, IN",46058,2280,4,4,7,6,2233,2218,33,2247,0,2,0,19,1,2218,0,0,0,848,7,3,0,0,0,3,1,74387.443925234,66607,29404
"47954, Ladoga, IN",47954,2280,4,4,2,2,2247,2227,25,2255,0,0,0,21,1,2227,1,1,1,872,4,1,0,0,0,3,0,68525.0125,57193,26460
"46070, Summitville, IN",46070,2263,3,4,9,12,2214,2184,40,2223,0,1,0,20,0,2184,1,1,1,860,6,3,0,0,0,3,0,63178.326812428,59957,24673
"46743, Harlan, IN",46743,2252,2,3,7,9,2195,2160,38,2214,0,1,0,24,8,2160,0,0,2,715,9,2,0,0,1,5,1,76735.316804408,73837,24738
"46702, Andrews, IN",46702,2247,12,10,8,6,2176,2157,37,2210,1,1,0,27,1,2157,1,1,2,843,5,1,0,0,0,4,0,61253.618266979,54844,23696
"47145, Milltown, IN",47145,2240,6,8,7,8,2183,2159,25,2215,1,1,0,9,1,2159,0,0,0,865,5,3,0,0,0,2,0,55500.377272727,51984,22178
"47951, Kentland, IN",47951,2238,12,16,13,17,2108,1992,178,2060,0,0,0,99,12,1992,1,1,4,877,34,10,0,0,0,22,2,67873.875,54635,27749
"47977, Remington, IN",47977,2234,12,13,19,20,2156,2105,56,2178,0,0,0,46,4,2105,3,3,4,839,7,1,0,0,0,5,1,67821.181818182,59804,26576
"47832, Bloomingdale, IN",47832,2226,6,6,7,3,2177,2162,32,2194,4,1,0,15,1,2162,1,1,0,811,5,2,0,0,0,3,0,54482.235653236,46145,20045
"47385, Spiceland, IN",47385,2220,11,12,12,13,2158,2148,21,2199,0,1,0,7,1,2148,5,5,4,844,6,3,0,0,1,2,0,67420,56442,26118
"46532, Hamlet, IN",46532,2196,3,4,15,19,2129,2071,60,2136,0,0,0,44,8,2071,1,1,3,809,14,2,0,0,0,11,1,62576.21307506,53552,23537
"46919, Converse, IN",46919,2190,6,8,8,10,2115,2049,79,2111,0,1,0,53,5,2049,0,0,4,825,18,5,0,0,0,12,1,67886.793349169,54908,26101
"47970, Otterbein, IN",47970,2179,5,7,13,16,2123,2077,50,2129,1,0,0,32,8,2077,1,1,3,816,9,2,0,0,0,6,1,66926.032569361,55108,25462
"46939, Kewanna, IN",46939,2160,14,16,27,26,2082,2051,42,2118,5,1,0,22,7,2051,3,3,10,840,5,1,1,0,0,2,1,57532.302540416,48235,23066
"47841, Clay City, IN",47841,2155,1,1,0,0,2117,2098,30,2125,0,1,0,17,2,2098,0,0,0,864,5,1,0,0,0,4,0,65445.709382151,49237,26543
"46128, Fillmore, IN",46128,2102,10,10,10,9,2042,2017,31,2071,1,1,0,23,2,2017,3,3,2,779,7,1,0,0,0,6,0,74981.044303798,64447,28180
"46031, Atlanta, IN",46031,2100,8,8,7,7,2047,2027,32,2068,0,0,0,18,4,2027,2,2,1,772,9,4,0,0,0,4,1,83782.58089172,72115,31446
"46914, Bunker Hill, IN",46914,2100,13,14,28,32,2000,1967,39,2061,0,1,0,24,5,1967,1,1,6,829,10,1,0,0,0,8,1,65288.485276796,54412,26494
"47380, Ridgeville, IN",47380,2065,9,9,7,8,2018,1999,20,2045,0,0,1,13,3,1999,2,1,2,805,6,1,0,1,0,4,0,56442.894736842,45291,22331
"46745, Hoagland, IN",46745,2060,5,5,11,12,2004,1984,23,2037,0,0,0,16,2,1984,1,1,4,755,5,1,0,0,0,4,0,88233.430989583,80357,32895
"47513, Birdseye, IN",47513,2054,1,1,9,8,2025,2008,24,2030,1,1,0,16,0,2008,0,0,2,793,5,1,0,0,1,3,0,56949.967540574,49516,22214
"46779, Pleasant Lake, IN",46779,2041,10,12,3,4,1977,1947,52,1989,0,1,0,23,1,1947,1,1,0,786,11,5,0,0,1,4,1,60962.241293532,50515,24015
"47384, Shirley, IN",47384,2035,7,7,10,11,1996,1987,13,2022,0,0,0,7,0,1987,2,2,2,760,3,1,0,0,0,2,0,66578.188311688,57542,25199
"46166, Paragon, IN",46166,1996,3,3,1,1,1961,1951,16,1980,0,0,0,11,1,1951,1,1,0,720,6,2,0,0,0,4,0,74209.27297668,54676,27103
"47634, Richland, IN",47634,1986,6,6,4,4,1951,1939,18,1968,0,0,0,10,1,1939,1,1,1,777,3,1,0,0,0,1,1,67976.166878981,61912,26869
"46182, Waldron, IN",46182,1979,2,2,2,2,1952,1936,24,1955,0,0,0,16,0,1936,0,0,0,734,5,2,0,0,0,3,0,73746.562162162,65964,28159
"46978, Royal Center, IN",46978,1978,7,6,6,5,1933,1912,33,1945,0,0,0,25,2,1912,0,0,0,766,6,1,0,0,0,5,0,65233.363518758,54885,25493
"47568, Plainville, IN",47568,1977,5,6,4,5,1955,1947,12,1965,0,0,0,6,0,1947,1,1,1,593,3,2,0,0,0,1,0,55132.590984975,48872,16889
"46951, Macy, IN",46951,1974,3,3,3,3,1931,1918,17,1957,0,0,0,11,2,1918,0,0,0,742,5,2,0,0,0,3,0,57135.596306069,46489,21940
"47837, Carbon, IN",47837,1931,2,2,3,3,1901,1887,20,1911,0,1,0,13,2,1887,0,0,2,754,4,1,0,0,0,3,0,91100.132720105,64667,35902
"47558, Montgomery, IN",47558,1930,3,4,2,3,1916,1901,16,1914,0,0,0,12,0,1901,0,0,0,622,3,0,0,0,0,3,0,62828.076923077,53012,20427
"46986, Swayzee, IN",46986,1928,3,4,15,19,1863,1836,33,1895,0,0,0,14,10,1836,0,0,4,755,7,3,0,0,0,3,1,64044.142857143,56395,25592
"47469, West Baden Springs, IN",47469,1928,4,4,20,21,1849,1832,26,1902,0,2,0,15,2,1832,1,1,5,741,4,1,0,0,1,2,0,59915.539661899,49318,23898
"47373, Redkey, IN",47373,1912,5,5,3,4,1885,1858,27,1885,0,0,1,21,0,1858,1,1,2,750,6,1,0,0,0,5,0,65422.631439894,52435,25903
"47946, Francesville, IN",47946,1911,3,3,8,8,1863,1824,57,1854,0,1,0,39,8,1824,1,1,1,728,15,1,0,0,1,13,0,68333.99458728,61782,28301
"47527, Dubois, IN",47527,1908,2,3,2,3,1854,1838,35,1873,0,1,0,8,3,1838,1,1,2,715,9,3,0,0,0,5,1,64869.308539945,59903,24683
