Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# Population, Hispanic, Other Race Alone, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita ($), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"40078, Willisburg, KY",40078,2272,2,3,9,12,2228,2191,39,2233,0,0,0,26,4,9,2191,56837.53846,44970,22197,1,1,876,8,1,0,0,0,6,1
"40068, Smithfield, KY",40068,2259,10,10,47,47,2141,2123,47,2212,1,1,0,17,2,26,2123,81367.71241,58281,30762,0,0,811,11,5,0,0,0,6,0
"42058, Ledbetter, KY",42058,2245,18,17,3,2,2194,2179,22,2223,1,1,0,17,3,0,2179,53847.03084,46667,21779,2,2,899,8,0,0,0,1,7,0
"40109, Brooks, KY",40109,2202,9,9,15,14,2123,2105,34,2168,1,2,0,18,3,10,2105,65525.66627,51667,25056,2,2,819,9,3,0,0,1,5,0
"42325, Bremen, KY",42325,2197,2,1,3,3,2159,2144,20,2177,0,0,1,11,1,7,2144,68907.53395,43646,27260,0,0,856,2,0,0,0,0,1,1
"42045, Grand Rivers, KY",42045,2194,1,1,3,1,2139,2126,30,2164,2,1,0,11,9,7,2126,54927.48482,40112,23909,0,0,937,11,3,0,0,1,5,1
"42343, Fordsville, KY",42343,2193,1,1,6,7,2160,2140,23,2170,0,1,0,17,2,3,2140,59766.97371,37893,24004,0,0,867,6,2,0,0,1,3,0
"42160, Park City, KY",42160,2188,11,12,72,79,2050,2017,53,2135,0,4,0,23,7,19,2017,48147.15618,39051,18923,2,2,826,12,3,0,0,0,9,0
"41064, Mount Olivet, KY",41064,2187,2,2,4,3,2145,2135,21,2166,1,1,0,9,1,9,2135,45553.51968,35765,18179,0,0,852,5,3,0,0,0,2,0
"41049, Hillsboro, KY",41049,2176,11,12,2,2,2136,2127,16,2160,0,0,0,7,0,9,2127,52422.98462,34365,20458,4,4,832,4,2,0,0,0,2,0
"40387, Wellington, KY",40387,2173,3,2,4,3,2132,2127,9,2164,1,0,1,4,0,3,2127,43809.36927,30839,17686,1,0,857,3,1,0,1,0,1,0
"42020, Almo, KY",42020,2170,11,12,32,35,2085,2043,49,2121,1,0,0,34,1,13,2043,54200.86266,44528,22005,3,3,848,14,4,0,0,0,10,0
"42202, Adairville, KY",42202,2158,3,3,201,190,1858,1817,117,2041,11,3,0,41,7,55,1817,53473.71073,42098,21934,0,0,778,23,11,2,0,0,8,2
"41649, Martin, KY",41649,2156,6,6,2,2,2123,2120,4,2152,0,0,0,3,0,1,2120,53331.39762,32350,23017,2,2,912,0,0,0,0,0,0,0
"42274, Rockfield, KY",42274,2153,8,7,46,43,2063,2041,40,2113,0,0,0,28,6,6,2041,70534.2401,66587,26570,1,1,779,9,3,0,0,0,5,1
"41039, Ewing, KY",41039,2149,4,4,16,17,2103,2097,16,2133,0,0,0,5,1,10,2097,59925.02233,44586,23949,2,2,837,3,2,0,0,0,1,0
"42712, Big Clifty, KY",42712,2122,5,5,7,6,2078,2070,17,2105,0,0,0,11,1,5,2070,52944.67774,41838,20285,2,2,800,4,1,0,0,0,3,0
"40055, Pendleton, KY",40055,2121,12,11,25,22,2016,1994,57,2064,1,1,1,25,5,24,1994,76903.0625,66542,28426,1,1,758,14,6,0,0,1,7,0
"42078, Salem, KY",42078,2110,6,6,8,7,2062,2048,21,2089,0,1,0,17,3,0,2048,49846.63371,36064,21517,1,1,876,8,0,0,0,1,6,1
"40119, Falls Of Rough, KY",40119,2106,1,1,4,3,2072,2059,17,2089,1,1,0,10,1,4,2059,61150.07874,47992,25814,0,0,882,4,1,0,0,0,3,0
"42166, Summer Shade, KY",42166,2092,2,2,32,35,2027,2012,27,2065,0,0,0,11,6,10,2012,56415.22912,49056,22598,1,1,810,5,2,0,0,0,1,2
"41262, Tomahawk, KY",41262,2090,3,3,4,4,2065,2059,9,2081,0,0,0,8,0,1,2059,42613.5875,27347,16311,0,0,791,2,0,0,0,0,2,0
"42081, Smithland, KY",42081,2090,1,1,2,1,2045,2029,23,2067,1,0,0,14,1,7,2029,60444.9537,46329,24988,0,0,850,7,2,0,0,0,5,0
"40003, Bagdad, KY",40003,2081,4,4,30,35,1986,1939,61,2020,3,1,1,28,5,23,1939,90549.05072,69572,33461,1,0,741,12,6,0,1,0,5,0
"42352, Livermore, KY",42352,2076,4,4,5,3,2019,2008,25,2051,2,0,0,7,4,12,2008,45465.93303,33908,18966,0,0,854,7,2,1,0,0,3,1
"41822, Hindman, KY",41822,2071,1,1,6,6,2040,2034,13,2058,1,0,0,3,4,5,2034,55489.94946,42350,22377,0,0,819,3,1,0,0,0,0,2
"40107, Boston, KY",40107,2060,3,3,10,10,2010,2001,16,2044,0,1,0,9,1,5,2001,53917.67494,43459,21096,0,0,787,5,1,0,0,1,3,0
"40111, Cloverport, KY",40111,2051,2,2,13,14,1996,1983,22,2029,0,2,0,9,2,9,1983,51068.25862,45991,20218,1,1,803,4,1,0,0,0,2,1
"40468, Perryville, KY",40468,2048,5,5,47,48,1969,1956,16,2032,0,0,0,12,1,3,1956,56907.24602,45256,22788,1,1,784,4,1,0,0,0,2,1
"42027, Boaz, KY",42027,2016,3,3,18,20,1944,1923,27,1989,0,1,0,14,5,7,1923,61312.58582,47712,24500,1,1,788,5,3,0,0,0,2,0
"41539, Kimper, KY",41539,2014,1,1,2,2,1994,1989,7,2007,0,0,0,6,1,0,1989,49044.10207,36741,20041,0,0,816,1,0,0,0,0,1,0
"41033, De Mossville, KY",41033,2010,3,3,11,8,1984,1958,34,1976,2,4,0,28,0,0,1958,63523.35714,62747,23369,0,0,699,4,0,0,0,1,3,0
"42355, Maceo, KY",42355,1963,4,2,13,4,1875,1828,103,1860,9,0,2,44,5,43,1828,64419.91425,60833,23727,0,0,705,21,9,1,0,0,10,1
"42740, Glendale, KY",42740,1954,14,14,68,65,1828,1809,31,1923,0,0,0,23,4,4,1809,72423.70084,60131,26557,3,3,679,8,1,0,0,0,7,0
"41046, Glencoe, KY",41046,1945,2,2,13,13,1878,1857,42,1903,1,0,0,17,8,16,1857,68445.11577,59746,24316,1,1,680,7,3,0,0,0,4,0
"41219, Flatgap, KY",41219,1944,3,3,1,1,1921,1914,8,1936,0,1,0,5,1,1,1914,49185.71788,37820,19102,1,1,746,2,1,0,0,0,1,0
"40144, Harned, KY",40144,1938,6,6,38,39,1857,1848,13,1925,0,0,0,8,1,4,1848,56663.74722,49444,21662,1,1,695,3,1,0,0,0,2,0
"41080, Petersburg, KY",41080,1935,11,11,3,3,1872,1858,23,1912,0,0,0,15,0,8,1858,86341.5482,69259,31027,3,3,684,3,1,0,0,0,2,0
"42732, Eastview, KY",42732,1925,11,10,15,13,1854,1845,24,1901,1,0,0,12,1,10,1845,54993.95537,44545,20483,3,3,700,5,2,0,0,0,2,1
"40507, Lexington, KY",40507,1920,32,33,548,553,1252,1191,98,1822,3,1,0,51,10,33,1191,55432.61373,20654,34589,16,16,768,33,11,2,0,0,17,3
"42713, Bonnieville, KY",42713,1920,5,6,33,40,1844,1815,34,1886,0,0,0,18,2,14,1815,63655.59043,34767,25056,0,0,725,7,4,0,0,0,3,0
"40046, Mount Eden, KY",40046,1919,3,3,14,15,1864,1845,21,1898,1,0,0,12,5,3,1845,75719.82454,69654,27660,1,1,687,3,0,0,0,0,3,0
"42746, Hardyville, KY",42746,1900,1,1,51,60,1819,1798,26,1874,0,1,0,10,9,6,1798,55454.19643,42973,21248,0,0,697,6,1,0,0,0,4,1
"40142, Guston, KY",40142,1870,10,10,32,33,1793,1777,16,1854,0,0,0,14,0,2,1777,63319.89069,52734,22924,1,1,655,5,1,0,0,0,4,0
"42337, Drakesboro, KY",42337,1865,1,1,95,88,1744,1737,22,1843,3,0,0,11,1,7,1737,50199.98361,35129,19703,0,0,683,6,0,0,0,0,6,0
"41098, Worthville, KY",41098,1860,3,3,11,12,1791,1764,48,1812,0,0,0,24,0,24,1764,85217.43826,57065,33766,0,0,718,10,5,0,0,0,5,0
"41722, Bulan, KY",41722,1851,2,2,21,21,1813,1811,6,1845,0,0,0,2,1,3,1811,49886.33623,39167,20247,0,0,681,1,1,0,0,0,0,0
"42082, Symsonia, KY",42082,1845,2,2,6,7,1809,1794,17,1828,0,3,0,12,0,2,1794,52060.17647,45613,22126,1,1,773,2,0,0,0,1,1,0
"41557, Raccoon, KY",41557,1790,3,3,3,3,1762,1756,14,1776,0,0,0,4,8,2,1756,51430.33105,43571,21003,1,1,723,2,0,0,0,0,1,1
"40972, Oneida, KY",40972,1777,4,4,13,13,1739,1731,10,1767,0,0,0,9,0,1,1731,32652.80055,21912,13678,1,1,726,2,0,0,0,0,2,0
"41265, Van Lear, KY",41265,1768,3,3,3,3,1746,1744,3,1765,0,1,0,2,0,0,1744,46979.93872,40828,19087,0,0,711,1,0,0,0,1,0,0
"41055, Mayslick, KY",41055,1758,2,2,52,58,1670,1640,40,1718,0,0,0,22,1,17,1640,75718.78116,57632,28381,1,1,633,6,3,0,0,0,3,0
"40737, Keavy, KY",40737,1697,7,7,1,1,1648,1636,20,1677,0,0,0,11,2,7,1637,56330.67381,45286,21795,1,1,637,4,1,0,0,0,3,0
"42349, Horse Branch, KY",42349,1696,2,1,1,1,1668,1655,16,1680,0,0,1,10,3,2,1655,48746.15267,42442,18826,1,1,648,2,1,0,0,0,1,0
"41043, Foster, KY",41043,1689,3,2,1,1,1666,1655,17,1672,0,0,1,11,0,5,1655,75326.4374,56884,28875,1,0,638,4,1,0,1,0,2,0
"42411, Fredonia, KY",42411,1679,1,1,20,18,1647,1643,7,1672,0,0,0,6,0,1,1643,65118.8,43739,26858,0,0,676,3,1,0,0,0,2,0
"40374, Sharpsburg, KY",40374,1672,9,4,80,84,1534,1523,30,1642,0,0,5,6,3,16,1523,48393.3997,36216,19189,1,0,611,7,3,0,1,0,3,0
"42716, Buffalo, KY",42716,1665,4,4,26,29,1612,1590,23,1642,0,1,0,18,1,3,1590,58229.05385,48194,22770,2,2,632,4,0,0,0,0,4,0
"42410, Earlington, KY",42410,1642,4,4,214,217,1363,1348,22,1620,0,0,0,11,2,9,1348,45460.47041,38750,18245,0,0,541,6,2,0,0,0,3,1
"40472, Ravenna, KY",40472,1608,0,0,0,0,1557,1546,23,1585,0,0,0,7,5,11,1546,51555.20236,34137,21706,0,0,665,6,3,0,0,0,2,1
"42372, Sacramento, KY",42372,1575,3,3,22,20,1529,1525,12,1563,0,0,0,7,1,4,1525,54573.8805,46250,22037,1,1,614,6,1,0,0,0,3,1
"40050, New Castle, KY",40050,1567,4,4,62,65,1451,1441,26,1541,0,0,0,6,1,19,1441,48370.60289,40337,20205,1,1,589,5,3,0,0,0,2,0
"41647, Mc Dowell, KY",41647,1562,0,0,3,3,1545,1542,3,1559,0,0,0,2,1,0,1542,41091.45738,28529,16047,0,0,607,0,0,0,0,0,0,0
"42729, Cub Run, KY",42729,1543,1,1,5,6,1516,1491,26,1517,0,0,0,21,1,4,1491,48454.69858,42615,17728,0,0,558,5,0,0,0,0,4,1
"42023, Bardwell, KY",42023,1541,4,5,14,17,1497,1467,32,1509,0,3,0,22,2,5,1467,57465.30722,42385,27958,1,1,628,12,3,0,0,1,7,1
"40771, Woodbine, KY",40771,1538,2,2,7,7,1479,1471,18,1520,0,0,0,9,2,7,1471,33352.85016,23636,13496,2,2,593,7,3,0,0,0,4,0
"42049, Hazel, KY",42049,1536,9,9,21,21,1482,1459,33,1503,1,0,0,22,0,10,1459,57376.92142,49628,24246,2,2,624,9,2,1,0,0,6,0
"41086, Sparta, KY",41086,1516,0,0,38,37,1411,1371,88,1428,2,1,0,38,9,38,1371,62354.77917,53992,22910,0,0,529,19,6,0,0,1,12,0
"42528, Dunnville, KY",42528,1510,4,4,7,8,1442,1431,39,1471,0,0,0,8,2,29,1431,54990.01621,40714,22469,1,1,605,8,4,0,0,0,3,1
"41348, Lost Creek, KY",41348,1459,1,1,4,4,1441,1439,4,1455,0,0,0,3,0,1,1439,39074.52007,26538,15607,0,0,569,1,0,0,0,0,1,0
"41332, Hazel Green, KY",41332,1452,1,1,1,1,1432,1427,9,1443,0,0,0,3,2,4,1427,40718.53088,29421,16829,0,0,592,2,1,0,0,0,0,1
"41776, Wooton, KY",41776,1451,2,2,1,1,1432,1427,8,1443,0,2,0,5,1,0,1427,37149.83137,28600,15206,1,1,586,2,0,0,0,0,2,0
"41773, Vicco, KY",41773,1447,2,2,5,5,1414,1408,8,1439,0,0,0,6,0,2,1408,40381.47514,23532,15171,1,1,536,2,0,0,0,0,2,0
"42456, Slaughters, KY",42456,1441,4,4,9,8,1410,1402,14,1427,1,0,0,9,0,4,1402,64796.11029,53889,24548,1,1,538,2,0,0,0,0,2,0
"40460, Orlando, KY",40460,1438,0,0,0,0,1418,1416,4,1434,0,1,0,2,0,1,1416,30334.67596,25000,12324,0,0,568,1,0,0,0,0,1,0
"40903, Artemus, KY",40903,1435,1,1,65,63,1348,1343,11,1424,1,0,0,6,1,3,1343,36104.86957,23222,15040,0,0,544,2,1,0,0,0,1,0
"41723, Busy, KY",41723,1428,0,0,9,9,1404,1395,11,1417,0,0,0,10,0,1,1395,44448.00735,37969,16933,0,0,539,2,0,0,0,0,2,0
"42733, Elk Horn, KY",42733,1422,2,2,2,2,1400,1382,23,1399,0,1,0,18,0,4,1381,51585.42572,37022,20025,1,1,544,3,0,0,0,0,3,0
"41174, South Portsmouth, KY",41174,1410,9,4,6,6,1358,1347,23,1387,0,0,5,12,0,6,1347,34460.86556,23625,13825,2,2,528,2,1,0,0,0,1,0
"41603, Banner, KY",41603,1399,1,1,4,4,1377,1374,7,1392,0,0,0,3,0,4,1374,53127.64855,36694,20962,0,0,544,1,0,0,0,0,1,0
"42634, Parkers Lake, KY",42634,1393,1,1,8,8,1372,1361,12,1381,0,0,0,11,0,1,1361,33501.53955,26096,12727,1,1,488,1,0,0,0,0,1,0
"40915, Bimble, KY",40915,1388,2,2,14,16,1344,1338,11,1377,0,0,0,2,6,3,1338,45528.97407,30444,18544,0,0,525,1,0,0,0,0,0,1
"41640, Hueysville, KY",41640,1384,0,0,1,1,1377,1374,3,1381,0,0,0,3,0,0,1374,57054.73647,30152,23622,0,0,570,2,0,0,0,0,2,0
"40075, Turners Station, KY",40075,1378,4,4,5,6,1341,1335,12,1366,0,0,0,3,5,4,1335,60677.56809,47209,22633,1,1,505,2,1,0,0,0,0,1
"42436, Manitou, KY",42436,1366,13,14,19,20,1311,1302,11,1355,1,1,0,4,3,2,1302,96659.07471,73321,37035,2,2,510,3,1,0,0,0,1,1
"42441, Nebo, KY",42441,1355,4,4,12,13,1316,1303,17,1338,0,0,0,11,2,4,1303,74325.47104,61650,29144,0,0,509,3,1,0,0,0,2,0
"40346, Means, KY",40346,1345,1,1,3,3,1309,1301,9,1336,0,0,0,3,4,2,1301,46633.15278,31545,17489,0,0,498,0,0,0,0,0,0,0
"42328, Centertown, KY",42328,1342,0,0,4,5,1325,1312,14,1328,0,0,0,10,2,2,1312,55460.9407,43911,20215,0,0,483,3,1,0,0,0,1,1
"41180, Webbville, KY",41180,1325,3,2,0,0,1303,1300,5,1320,0,0,1,3,0,1,1301,39688.88889,26500,15636,0,0,515,1,0,0,0,0,0,0
"42603, Alpha, KY",42603,1320,2,2,6,6,1290,1286,11,1309,0,0,0,6,1,4,1286,42855.97388,27632,17549,1,1,525,2,1,0,0,0,1,0
"41124, Blaine, KY",41124,1314,1,1,2,2,1297,1294,4,1310,0,0,0,3,1,0,1294,39886.2279,29262,15451,0,0,506,3,0,0,0,0,2,1
"42159, Oakland, KY",42159,1311,4,4,105,101,1175,1169,14,1297,2,0,0,8,1,3,1169,79076.36382,63298,30340,1,1,449,4,1,0,0,0,3,0
"41216, East Point, KY",41216,1302,4,4,2,2,1279,1273,9,1293,0,0,0,4,4,1,1273,51390.28654,45068,20529,1,1,512,1,0,0,0,0,1,0
"40510, Lexington, KY",40510,1299,29,30,126,128,1060,1002,115,1184,3,4,0,51,14,43,1002,165004.1071,108333,55022,7,7,375,17,5,0,0,0,10,2
"42079, Sedalia, KY",42079,1278,3,4,8,12,1224,1194,33,1245,0,0,0,14,3,16,1194,69969.14596,52874,27758,1,1,495,5,2,0,0,0,2,1
"41519, Canada, KY",41519,1274,0,0,1,1,1261,1253,10,1264,0,1,0,6,3,0,1253,51707.34747,37647,20090,0,0,489,3,0,0,0,1,1,1
"41250, Pilgrim, KY",41250,1272,0,0,2,2,1257,1254,4,1268,0,0,0,2,1,1,1254,36314.11765,23455,14560,0,0,506,2,0,0,0,0,1,1
"42350, Island, KY",42350,1271,1,1,9,11,1227,1221,20,1251,0,0,0,2,2,16,1221,51088.1277,40227,20459,1,1,499,2,1,0,0,0,1,0
"41238, Oil Springs, KY",41238,1270,7,6,1,1,1255,1244,13,1257,0,0,0,13,0,0,1244,58706.75728,41667,23806,2,2,510,4,0,0,0,0,4,0
"41231, Lovely, KY",41231,1269,1,1,1,1,1259,1253,6,1263,0,0,0,4,1,1,1253,41021.72549,33103,16486,0,0,508,1,0,0,0,0,1,0
"40743, London, KY",40743,1263,24,22,7,7,1206,1201,16,1247,0,0,0,8,1,7,1201,72265.2205,58135,29581,10,10,497,5,2,0,0,0,3,0
"41183, Worthington, KY",41183,1259,7,6,3,3,1235,1235,3,1256,0,0,0,1,0,2,1235,47037.33779,35417,19776,1,1,518,1,1,0,0,0,0,0
"40328, Gravel Switch, KY",40328,1248,2,3,8,10,1211,1200,13,1235,0,0,0,3,6,4,1200,58536.34292,44935,22842,0,0,473,5,2,0,0,0,1,2
"42133, Fountain Run, KY",42133,1243,2,1,7,7,1192,1173,33,1210,1,0,1,14,1,16,1173,47752.13834,36429,19439,0,0,492,8,3,0,0,0,5,0
"40953, Hinkle, KY",40953,1239,0,0,0,0,1225,1221,6,1233,0,0,0,4,0,2,1221,48127.19826,33841,17829,0,0,454,1,0,0,0,0,1,0
"42170, Woodburn, KY",42170,1238,4,4,66,64,1148,1140,18,1220,0,0,0,10,1,7,1140,73903.12102,57353,28179,1,1,437,5,2,0,0,0,3,0
"42076, New Concord, KY",42076,1235,2,2,4,4,1199,1183,17,1218,0,0,0,15,1,1,1183,46702.92153,29940,20723,0,0,538,3,0,0,0,0,3,0
"40868, Stinnett, KY",40868,1211,6,6,1,1,1202,1201,1,1210,0,0,0,1,0,0,1201,40514.48497,23468,16707,2,2,496,0,0,0,0,0,0,0
"42140, Gamaliel, KY",42140,1208,0,0,11,11,1151,1123,58,1150,1,0,0,26,3,28,1123,47342.41,30373,19603,0,0,489,12,5,0,0,0,7,0
"40815, Cawood, KY",40815,1207,1,1,1,1,1193,1191,5,1202,0,0,0,2,1,2,1191,38155.24691,26270,15383,0,0,482,2,0,0,0,0,1,1
"42036, Dexter, KY",42036,1205,3,4,5,5,1177,1147,32,1173,1,0,0,26,1,4,1147,58099.30143,50769,23674,0,0,481,6,1,0,0,0,5,0
"42461, Uniontown, KY",42461,1204,1,1,46,46,1121,1111,12,1192,0,0,0,10,1,1,1111,61691.20545,55769,24441,1,1,450,2,1,0,0,0,1,0
"40442, Kings Mountain, KY",40442,1191,0,0,2,2,1166,1162,11,1180,0,0,0,5,1,5,1162,46115.89451,34556,19010,0,0,465,3,2,0,0,0,1,0
"41844, Pippa Passes, KY",41844,1191,7,5,9,9,1172,1170,4,1187,0,0,2,2,0,0,1170,67743.99026,42105,20611,1,1,306,0,0,0,0,0,0,0
"41731, Cornettsville, KY",41731,1182,3,3,0,0,1163,1163,1,1181,0,0,0,1,0,0,1163,42656.70515,22982,17503,0,0,477,0,0,0,0,0,0,0
"40176, Webster, KY",40176,1180,1,1,4,3,1152,1143,10,1170,1,0,0,8,0,1,1143,55923.92202,48019,20663,0,0,427,3,0,1,0,0,2,0
"42333, Cromwell, KY",42333,1180,1,0,9,12,1143,1122,33,1147,1,0,1,13,4,14,1122,56009.97758,53462,21231,0,0,436,8,6,0,0,0,2,0
"42040, Farmington, KY",42040,1169,5,7,9,10,1129,1110,20,1149,2,0,0,8,0,10,1110,77588.90506,54494,31460,1,1,463,4,2,0,0,0,2,0
"42102, Bowling Green, KY",42102,1166,17,14,47,40,1017,1004,97,1069,0,0,1,25,11,60,1004,67309.58907,60714,29396,5,4,382,16,10,0,1,0,4,1
"41267, Warfield, KY",41267,1143,2,2,0,0,1127,1122,8,1135,0,1,0,6,1,0,1122,37041.16776,22353,14875,0,0,457,1,0,0,0,0,1,0
"41645, Langley, KY",41645,1137,2,2,3,4,1125,1121,5,1132,0,0,0,2,1,2,1121,57449.36674,37143,22208,0,0,435,0,0,0,0,0,0,0
"40104, Battletown, KY",40104,1129,1,1,3,3,1094,1087,9,1120,0,0,0,3,5,1,1087,65318.64138,49257,25167,0,0,426,2,1,0,0,0,1,0
"40914, Big Creek, KY",40914,1123,1,1,4,4,1102,1101,3,1120,0,0,0,2,0,1,1101,41107.85996,32813,16820,1,1,450,1,0,0,0,0,1,0
"42259, Mammoth Cave, KY",42259,1114,2,2,149,149,952,945,8,1106,0,0,0,7,0,1,945,42079.31633,34722,18124,1,1,386,0,0,0,0,0,0,0
"41824, Isom, KY",41824,1101,0,0,2,2,1096,1095,1,1100,0,0,0,1,0,0,1095,39890.42316,26892,16268,0,0,448,0,0,0,0,0,0,0
"42458, Spottsville, KY",42458,1100,3,3,8,8,1075,1070,7,1093,0,0,0,5,0,2,1070,65408.00976,48469,24379,1,1,404,1,0,0,0,0,1,0
"40009, Bradfordsville, KY",40009,1089,2,3,5,7,1067,1056,13,1076,0,0,0,6,1,6,1056,49481.75286,39091,19856,1,1,431,2,1,0,0,0,1,0
"41840, Neon, KY",41840,1084,0,0,4,4,1068,1064,5,1079,0,0,0,4,0,1,1064,50166.59152,37553,20734,0,0,443,2,0,0,0,0,2,0
"40464, Parksville, KY",40464,1081,3,3,6,6,1046,1039,11,1070,0,0,0,7,1,3,1039,55351.1619,41667,21507,1,1,408,2,0,0,0,0,2,0
"41512, Ashcamp, KY",41512,1079,4,4,4,4,1064,1062,3,1076,0,0,0,2,0,1,1062,59303.73923,42115,23803,0,0,413,0,0,0,0,0,0,0
"40060, Raywick, KY",40060,1077,2,3,10,14,1050,1032,19,1058,0,0,0,10,4,5,1032,48162.20379,40577,18982,1,1,413,5,1,0,0,0,3,1
"41083, Sanders, KY",41083,1076,0,0,12,13,1028,991,58,1018,0,0,0,35,0,23,991,52603.28084,52655,19435,0,0,366,15,8,0,0,0,7,0
"41555, Pinsonfork, KY",41555,1073,4,4,11,10,1037,1037,2,1071,1,0,0,1,0,0,1037,39986.94884,27206,16025,2,2,421,1,0,0,0,0,1,0
"41650, Melvin, KY",41650,1063,1,0,13,13,1046,1041,6,1057,0,0,1,5,0,0,1041,36575.58794,23765,13952,0,0,393,2,0,0,0,0,2,0
"42324, Belton, KY",42324,1063,0,0,10,11,1036,1029,14,1049,0,0,0,6,2,6,1028,52630.3789,42174,20646,0,0,408,3,1,0,0,0,2,0
"41837, Mayking, KY",41837,1061,3,2,3,2,1049,1043,10,1051,0,0,0,8,0,2,1043,49586.4105,35469,19985,1,1,416,4,1,0,0,0,3,0
"42021, Arlington, KY",42021,1060,1,1,40,41,991,972,24,1036,3,0,0,13,2,6,972,44454.27632,32654,19124,0,0,426,5,2,0,0,0,3,0
"41425, Ezel, KY",41425,1051,1,1,2,2,1039,1033,7,1044,0,0,0,6,0,1,1033,53006.5237,32313,22564,0,0,440,1,0,0,0,0,1,0
"41740, Emmalena, KY",41740,1049,2,2,1,1,1042,1035,7,1042,0,0,0,7,0,0,1035,60170.31116,44600,24148,0,0,419,2,0,0,0,0,2,0
"42339, Dunmor, KY",42339,1030,1,1,6,7,1006,998,14,1016,0,0,0,7,1,6,998,54699.33005,47000,21561,0,0,399,4,1,0,0,0,3,0
"40157, Payneville, KY",40157,1027,1,1,4,4,1001,994,7,1020,0,0,0,5,1,1,994,64950.34794,47321,24538,0,0,379,2,0,0,0,0,2,0
"42207, Bee Spring, KY",42207,1025,2,2,2,2,1013,1008,7,1018,0,0,0,4,0,3,1008,66699.40603,49308,28077,0,0,428,2,0,0,0,0,2,0
"42782, Summersville, KY",42782,1020,1,1,20,24,977,967,14,1006,0,0,0,5,1,8,967,44864.96535,31721,17770,0,0,391,3,2,0,0,0,1,0
"41044, Germantown, KY",41044,1017,1,1,9,10,993,989,9,1008,0,0,0,3,0,6,989,58704.73684,44882,21979,0,0,375,2,1,0,0,0,1,0
"40140, Garfield, KY",40140,1014,4,4,6,6,974,968,10,1004,0,1,0,4,1,4,968,53281.42005,43333,19426,0,0,355,3,1,0,0,0,2,0
"40902, Arjay, KY",40902,1014,0,0,0,0,1005,999,7,1007,0,0,0,5,0,2,1000,32759.68137,23269,13181,0,0,402,2,1,0,0,0,1,0
"42462, Waverly, KY",42462,1011,3,3,46,45,946,942,6,1005,0,0,0,5,1,0,942,63576.31688,50305,24265,1,1,356,2,0,0,0,0,2,0
"42054, Kirksey, KY",42054,1010,2,2,4,5,979,959,23,987,0,1,0,15,1,6,959,63363.20293,56776,25659,0,0,398,6,1,0,0,0,5,0
"41260, Thelma, KY",41260,1002,4,3,11,8,981,981,6,996,0,0,0,5,0,1,981,40902.94906,39091,16373,0,0,373,1,0,0,0,0,1,0
"42215, Cerulean, KY",42215,1002,4,4,66,68,903,890,14,988,0,0,0,10,3,1,890,83020.29412,58562,31052,1,1,339,3,0,0,0,0,2,1
"41568, Stopover, KY",41568,1001,1,1,0,0,988,983,8,993,0,0,0,6,1,1,983,33774.46809,26566,14272,1,1,417,3,0,0,0,0,2,1
"41531, Hardy, KY",41531,996,6,6,12,12,961,960,2,994,0,0,0,1,1,0,960,46167.46988,38434,19236,1,1,405,0,0,0,0,0,0,0
"41034, Dover, KY",41034,992,7,7,21,19,954,952,4,988,0,0,0,4,0,0,952,53836.46113,44762,20258,1,1,361,0,0,0,0,0,0,0
"42323, Beechmont, KY",42323,984,1,1,11,12,961,956,9,975,1,0,0,2,3,3,956,53649.76267,35234,20446,0,0,365,1,1,0,0,0,0,0
"40810, Bledsoe, KY",40810,983,0,0,2,2,975,972,3,980,0,0,0,3,0,0,972,38054.58015,27174,15584,0,0,391,1,0,0,0,0,1,0
"40856, Miracle, KY",40856,976,1,0,0,0,961,957,6,970,0,0,1,5,0,0,957,39745.34005,37459,16167,0,0,393,1,0,0,0,0,1,0
"41862, Topmost, KY",41862,974,0,0,0,0,970,966,4,970,0,0,0,4,0,0,966,48783.79188,35804,19734,0,0,392,2,0,0,0,0,2,0
"41804, Blackey, KY",41804,971,0,0,0,0,970,965,5,966,0,0,0,5,0,0,965,62795.28537,43049,26515,0,0,409,2,0,0,0,0,2,0
"42368, Reynolds Station, KY",42368,968,1,1,0,0,955,950,6,962,0,1,0,3,1,1,950,59924.19677,48306,22967,0,0,370,2,0,0,0,1,1,0
"40358, Olympia, KY",40358,961,1,1,4,4,937,935,7,954,0,1,0,1,0,5,935,41520.75472,35909,16029,0,0,365,2,1,0,0,0,1,0
