Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# Population, Hispanic, Other Race Alone, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita ($), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"40769, Williamsburg, KY",40769,17497,59,54,171,167,16891,16813,161,17336,1,2,4,87,39,28,16813,45083.03353,32176,17464,14,14,6302,30,7,0,0,1,16,6
"40059, Prospect, KY",40059,17201,934,925,796,784,15084,14826,388,16813,6,2,3,272,28,77,14826,168570.5414,130376,61001,275,274,5526,95,18,1,1,0,70,5
"42501, Somerset, KY",42501,16970,109,107,390,395,15994,15725,484,16486,4,0,5,251,17,207,15725,47773.51786,31647,20418,24,24,6818,94,40,2,0,0,49,3
"42164, Scottsville, KY",42164,16865,29,32,135,146,16330,16111,298,16567,4,2,0,171,48,73,16111,53224.66238,42561,21409,5,5,6520,73,14,2,0,0,47,10
"42134, Franklin, KY",42134,16862,103,102,1853,1882,14457,14218,338,16524,10,5,3,191,29,100,14218,57067.00321,45883,23116,36,34,5690,74,16,2,2,2,49,3
"42728, Columbia, KY",42728,16423,38,42,416,506,15602,15286,318,16105,5,2,4,162,25,120,15286,47170.21345,34851,19080,14,14,6158,71,27,4,0,0,39,1
"41048, Hebron, KY",41048,16234,361,355,361,343,14915,14665,489,15745,16,4,4,256,44,165,14665,108818.4317,97565,35677,111,111,4974,118,30,4,0,1,78,5
"41075, Fort Thomas, KY",41075,16051,118,108,275,259,15352,15211,250,15801,3,2,4,172,23,46,15211,88923.66682,67988,37865,39,37,6471,60,11,1,2,0,40,6
"41031, Cynthiana, KY",41031,15629,46,44,335,329,14895,14665,349,15280,7,2,2,228,26,84,14665,57503.12643,44273,23247,8,8,5919,78,27,2,0,0,48,1
"40962, Manchester, KY",40962,15465,20,19,781,741,14333,14072,425,15040,15,2,0,294,15,99,14072,39391.52081,27975,16142,2,2,5152,20,6,0,0,0,13,1
"40514, Lexington, KY",40514,15233,915,963,649,672,13214,12842,390,14843,15,3,6,259,48,59,12842,106185.9574,89092,39740,240,239,5132,109,16,6,1,0,80,6
"42276, Russellville, KY",42276,15148,76,76,1500,1478,12970,12807,495,14653,20,10,0,165,43,257,12807,55078.95968,40588,22554,14,14,5334,120,49,6,0,3,56,6
"40210, Louisville, KY",40210,15102,31,29,12904,12837,1657,1601,219,14883,69,1,2,54,55,38,1601,38035.28908,27311,15700,5,5,490,53,13,17,0,1,14,7
"41701, Hazard, KY",41701,14749,75,76,397,397,13996,13950,78,14671,3,0,0,41,4,30,13950,55668.52043,41979,22842,27,27,5699,20,7,3,0,0,10,0
"40204, Louisville, KY",40204,14514,226,226,2099,2104,11711,11468,303,14211,17,12,2,215,22,35,11468,78614.73199,49003,42036,108,106,6368,114,12,5,2,5,82,8
"42754, Leitchfield, KY",42754,14219,72,65,252,241,13713,13607,179,14040,5,5,5,118,19,27,13607,52441.501,39579,20901,13,12,5403,40,6,0,1,1,26,6
"41056, Maysville, KY",41056,14154,108,109,1201,1234,12499,12338,212,13942,3,3,2,114,31,59,12338,60072.26824,43396,24998,28,27,5237,39,10,0,1,0,23,5
"40444, Lancaster, KY",40444,13893,36,33,303,292,13130,13005,366,13527,11,2,3,125,24,201,13005,59767.68918,48951,23909,6,6,5296,65,28,3,0,1,32,1
